,std1,std2,std3,comp1,comp2,comp3,mu1,mu3,mu2,seed,raw_mean,best_pred,best_sem
0,0.1000,1.000,0.1000,1.000,0.7740,0.2850,50.00,10.00,10.00,10,0.746,0.754,0.0002337
1,0.1000,0.6227,1.000,1.000,0.8049,1.000,50.00,10.00,10.00,11,0.6620,0.7408,0.0009568
2,0.1000,1.000,1.000,1.000,0.6782,1.000,50.00,10.00,10.00,12,0.747,0.7486,0.0002750
3,1.000,1.000,0.1000,0.7455,0.2649,1.000,50.00,10.00,10.00,13,0.748,0.7436,0.0004988
4,1.000,0.1000,1.000,0.6050,1.000,0.00e+00,10.00,10.00,50.00,14,0.6550,0.7543,0.0002239
