,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.635,0,0_0,2.67668429762125,3.2037246376276016,3.0825181417167187,0.19330993862822654,0.68070720275864,0.8341830760240555,0.689736919477582,0.41617687977850437,0.7394631011411548,COMPLETED,Sobol,100.208652,0.6362037333831616,0.007833156712077018
3,0.68,1,1_0,2.905165635049343,1.1198937967419624,1.4768042787909508,0.4520429573953152,0.5071052392013371,0.9696140947751701,0.35571430902928114,0.05151230562478304,0.8628525845706463,COMPLETED,Sobol,99.999331,0.6783997401833999,0.00793561472534083
15,0.609,2,2_0,2.0788011327385902,4.291120070964098,2.1470654867589474,0.3366851265542209,0.3707076621241868,0.7087753675878048,0.9998134169727564,0.5632079327479005,0.4653877532109618,COMPLETED,Sobol,70.839829,0.6102073691126357,0.00793249721960398
27,0.56,3,3_0,4.690979976207018,4.388437785208225,1.2920880168676376,0.1638206321746111,0.2870051522739232,0.8220104428939521,0.10801954194903374,0.5969217838719487,0.8434964083135128,COMPLETED,Sobol,53.11244,0.5652543760741398,0.007971533086235064
39,0.722,4,4_0,4.978146646171808,2.2886767834424973,3.1478037275373936,0.48165333876386285,0.9009169383905828,0.925539892911911,0.9380744518712163,0.9977210629731417,0.7119444264099002,COMPLETED,Sobol,262.1704,0.7072368854177441,0.0037446236389423815
51,0.589,5,5_0,1.2983613163232803,1.3603623732924461,4.5328203067183495,0.10874594850465656,0.3504779354669154,0.4509174362756312,0.5914299171417952,0.2389914421364665,0.27983114402741194,COMPLETED,Sobol,54.446458,0.5932872855933993,0.007972430842135463
63,0.614,6,6_0,4.909441202878952,4.527165777981281,4.786274906247854,0.2721500787883997,0.434346635825932,0.87314139502123,0.47853527311235666,0.8343873023986816,0.3544247020035982,COMPLETED,Sobol,75.941191,0.614974102685448,0.007961388936174603
75,0.681,7,7_0,4.106529429554939,1.8233004994690418,3.589363269507885,0.18272066628560424,0.4439584458246827,0.5556102676317097,0.8686921447515488,0.2836287133395672,0.943296262063086,COMPLETED,Sobol,72.679191,0.678413034871294,0.007811723713405061
87,0.624,8,8_0,1.9052884168922901,4.929501507431269,2.3291042000055313,0.12763160094618797,0.16976627986878157,0.2655461516231299,0.3227884490042925,0.9276534635573626,0.37975691817700863,COMPLETED,Sobol,56.429628,0.6237199806276198,0.007976374062298343
99,0.669,9,9_0,4.634077206254005,2.6733745485544205,2.6498031094670296,0.37553652683272964,0.5850987635552883,0.987320720218122,0.5664638951420784,0.6962747862562537,0.23079012800008059,COMPLETED,Sobol,114.509412,0.6674011075793935,0.007805849951981274
1,0.702,10,10_0,4.908804271798459,2.134899140713125,3.0144494887634505,0.4524359761936768,0.8159859592320232,0.9234796371157015,0.8627652493172248,0.8751228324267727,0.6176370758692652,COMPLETED,GPEI,212.523064,0.7075360655806422,0.005366505295531098
2,0.704,11,11_0,4.999766012987389,2.4518798349882163,3.3573707912444,0.5219106214697558,0.9616720867394513,0.9616720867394513,1.0,1.0,0.8549615427725007,COMPLETED,GPEI,226.757934,0.6954016319911691,0.0038851373049511406
