,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,seed,best_sem,best_pred
0,0,True,True,True,10.000000000004492,46.60269776493551,10.0,0.7191552879667106,0.824717708685642,0.463505111954038,0.24492667382362682,0.7550733261737346,2.638556040324147e-12,0.711,10,5.007731763478505e-05,0.7349160476703083
1,1,True,True,True,46.12615772532605,15.193344623439254,10.0,0.8493580113003438,0.8860640805193416,0.39820731814084775,0.2989674284419124,0.2693845781948175,0.4316479933632702,0.6930000000000001,11,0.00011408610171954261,0.6923386776285896
2,2,True,True,True,49.99999999732858,22.30193145774964,10.0,0.3869664319225662,0.7020992741211013,0.4853153377592222,0.6261019859263526,0.1681046639888504,0.20579335008479704,0.6920000000000001,12,4.697367389787683e-06,0.6916801034370165
3,3,True,True,True,47.66965818348196,10.0,10.0,0.46491107200488946,0.8580701266578205,0.5128995973324889,0.5835059130972367,0.09654687501603153,0.3199472118867318,0.731,13,2.8714244392169618e-05,0.7429609766799193
4,4,True,True,True,43.71234579848695,10.0,10.0,0.5974069030673488,0.6510694854605427,0.8122336528157174,0.43560329768603573,0.15711070152308157,0.40728600079088273,0.68,14,5.673984987197185e-05,0.7229569604735928
5,5,True,True,False,42.88817747305147,10.000000000163048,10.0,0.9999999999967389,0.6560414990533583,0.10000000000337468,0.5017135544570893,0.49828644554048335,2.4273916210404423e-12,0.6900000000000001,10,3.469867367423997e-05,0.7218151383527387
6,6,True,True,False,10.0,50.0,10.0,0.5349050730685071,0.31925926799126614,0.8945194475011978,0.13387168799194826,0.5443165970640422,0.3218117149440095,0.747,11,5.2080176036808194e-05,0.7404029277661675
7,7,True,True,False,45.87160750003052,13.249003390896545,10.0,0.862392028033074,0.7705672446720162,0.7341306174111394,0.4177784003210301,0.1483258124410353,0.43389578723793465,0.6920000000000001,12,2.6208031035885613e-05,0.7138082686577899
8,8,True,True,False,10.000000027611652,49.999999979724365,10.0,0.8185019836806925,1.0,0.1,0.344812253186302,0.6551875689506576,1.778630405180337e-07,0.74,13,5.868261905210296e-05,0.7535760532475005
9,9,True,True,False,42.030691570887555,10.0,10.0,0.6550153934260903,0.3818099285546207,0.10000000000000002,0.4741788953505935,0.12101754048604162,0.40480356416336494,0.704,14,9.416884794059197e-05,0.7001669251612045
10,10,True,False,True,33.4093309342766,10.0,10.0,0.8973821933693833,0.8973821933693833,0.19645301489063213,0.6775773205203692,0.6615143676541998,0.4701065297268192,0.665,10,3.2387301179499993e-05,0.6959026915668973
11,11,True,False,True,34.98849006446758,10.0,10.0,0.6110280099604093,0.6425212138792203,0.24783642137303097,0.599125488097251,0.22831463720484932,0.36091090408910637,0.723,11,2.49582843548652e-05,0.7213624785414328
12,12,True,False,True,11.906966468096552,49.49342543153328,10.0,0.470262469667587,1.0,0.6651166942746723,0.4651303029204981,0.8873547085814583,0.8927194613879327,0.6910000000000001,12,2.605177046198683e-05,0.730109031276877
13,13,True,False,True,10.0,50.0,10.0,0.5551742004601189,0.5551742004602478,0.7465853920898515,0.22615352949309114,0.8129781794367684,1.0,0.738,13,2.621411293437597e-05,0.7399957351192407
14,14,True,False,True,39.069832590387804,19.706395091498553,10.0,0.5572687870573519,0.6959345297770706,0.7322511333786571,0.6060699009663864,0.2865938058519549,0.6603358294156418,0.683,14,2.6311842592838556e-05,0.6816744415621031
15,15,True,False,False,33.45985619123917,13.965828956204591,10.0,1.0,0.8851682437137202,0.3389532565609856,0.5769969889886211,0.5706534941971934,0.42775910403699346,0.679,10,1.876713180587436e-05,0.6866391461416919
16,16,True,False,False,10.0,46.29458361819283,10.0,0.8497577974389393,1.0,0.2595167989919015,0.49927018340103235,1.0,0.7568936679541663,0.715,11,0.00010038572801375264,0.7507554974885299
17,17,True,False,False,10.0,40.79830122714255,10.0,0.5742323863939546,0.5551678773898205,0.3095647124047297,0.1161774348969872,0.5252805135121877,0.47126012679519574,0.726,12,4.6579772223949156e-05,0.7419898968126044
18,18,True,False,False,49.60877348952746,10.0,10.0,0.9493855733115606,0.4658930278029114,0.3250532202999916,0.7363720036217325,0.42772148774454427,0.0,0.714,13,6.406396284132139e-05,0.7415720578506277
19,19,True,False,False,36.339569628147494,10.0,10.0,0.991261130051665,0.6796852678222975,0.4476535863449337,0.8868869580542483,0.7530035209811173,0.07329725717426143,0.718,14,2.622701206161967e-05,0.7255812186673538
20,20,False,True,True,4.999999999999866,1.0000000000002947,1.7695160853461545,0.36460507711833123,0.6720551470114442,0.6980528994903805,0.6365980927769476,0.19214128976155243,0.1712606174615,0.719,10,1.7967324154923863e-05,0.732410791843513
21,21,False,True,True,4.999999999999995,1.0000000000000018,3.824953082883197,0.47251543258270934,0.5734274409946183,0.85437935917752,0.6641244179289905,0.1480319113199861,0.18784367075102337,0.768,11,2.137539745755301e-05,0.7462906333465454
22,22,False,True,True,4.999999999999715,1.0000000000001907,3.7321290405557206,0.4443229863910293,0.5715659193166275,0.9999999999997348,0.7318492203156918,0.2000975808826613,0.06805319880164695,0.732,12,1.345010495709411e-05,0.7432675518603886
23,23,False,True,True,4.999999998997563,1.0000000000049358,3.195027436521641,0.5416552682815411,0.7056620754161066,0.7553197642144217,0.8404438993753939,0.15955610054514707,7.94591059616323e-11,0.741,13,1.216138759428781e-05,0.7550769420797616
24,24,False,True,True,5.0,1.0,3.9286906248344726,0.3915244281735135,0.6543840943445716,0.8057294993250801,0.7079754664742114,0.1253302266836555,0.16669430684213316,0.752,14,2.510689619160087e-05,0.7490533283965286
25,25,False,True,False,1.0000000000000113,4.383996947599698,4.019942843329359,0.5532515920006534,0.5605847824332421,0.727972181365359,0.15422508252991787,0.7438002592441795,0.10197465822590268,0.717,10,1.7971915907892933e-05,0.743959004108261
