,std1,std2,std3,comp1,comp2,mu1,mu3,mu2,comp3,seed,raw_mean,best_pred,best_sem
0,0.1000,0.1000,0.1000,1.000,0.00e+00,50.00,10.00,10.00,0.00e+00,10,0.495,0.495,nan
1,0.7859,0.2431,0.7406,0.6324,0.04253,20.20,10.00,29.41,0.3250,11,0.484,0.484,nan
