,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
0,0,True,True,True,13.71,36.81,10.00,0.6022,0.9822,0.5721,0.1539,0.8145,0.03158,0.6470,0.0003339,10,0.6907
5,5,True,True,False,10.00,50.00,10.00,0.5723,0.6066,0.1000,0.2797,0.7203,1.78e-15,0.7760,0.0004491,10,0.753
10,10,True,False,True,50.00,10.00,10.00,0.1000,1.000,0.1000,1.000,1.000,1.000,0.6980,0.0003902,10,0.7227
15,15,True,False,False,50.00,10.00,10.00,0.1000,1.000,0.1000,1.000,0.7740,0.2850,0.746,0.0002337,10,0.754
20,20,False,True,True,5.000,1.000,5.000,0.876,1.000,1.000,0.5223,0.4777,1.55e-15,0.6500,0.00005323,10,0.7367
25,25,False,True,False,1.000,5.000,1.000,1.000,0.1000,1.000,0.2357,0.3783,0.3860,0.7640,nan,10,0.7640
30,30,False,False,True,5.000,1.000,1.000,0.2448,1.000,1.000,0.9588,1.000,0.00e+00,0.740,0.0003443,10,0.7386
35,35,False,False,False,1.000,5.000,1.000,1.000,1.000,1.000,0.4181,0.3423,1.000,0.6500,0.0002651,10,0.7629
