,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
4,4,True,True,True,50.00,10.00,10.00,1.000,1.000,0.1000,0.5127,0.0724,0.4149,0.7510,0.0002508,14,0.7482
9,9,True,True,False,38.52,10.00,10.00,1.000,1.000,0.1000,0.3671,0.1825,0.4504,0.5210,0.0004750,14,0.7418
14,14,True,False,True,50.00,10.00,10.00,0.1000,1.000,1.000,0.4719,0.2922,1.000,0.6940,0.0004176,14,0.7552
19,19,True,False,False,10.00,50.00,10.00,1.000,0.1000,1.000,0.6050,1.000,0.00e+00,0.6550,0.0002239,14,0.7543
24,24,False,True,True,5.000,1.000,5.000,0.6436,0.6436,1.000,0.711,0.2890,1.33e-10,0.735,0.0001425,14,0.7411
29,29,False,True,False,1.000,5.000,5.000,1.000,1.000,0.1000,0.1222,0.7048,0.1730,0.7010,0.0004700,14,0.765
34,34,False,False,True,5.000,1.000,3.109,0.4554,1.000,1.000,0.5277,1.000,0.8511,0.6380,0.0002951,14,0.6928
39,39,False,False,False,1.000,4.422,1.000,1.000,0.1000,1.000,0.4156,1.000,0.00e+00,0.6660,0.000388,14,0.7544
