,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
2,2,True,True,True,10.00,50.00,10.00,1.000,1.000,1.000,0.1019,0.3215,0.5766,0.6330,0.0002578,12,0.7436
7,7,True,True,False,30.84,10.00,10.00,1.000,1.000,0.1000,0.591,0.1494,0.2596,0.716,0.0001408,12,0.7438
12,12,True,False,True,10.00,28.24,10.00,1.000,1.000,0.2093,1.000,1.000,0.5988,0.6330,0.002751,12,0.6827
17,17,True,False,False,50.00,10.00,10.00,0.1000,1.000,1.000,1.000,0.6782,1.000,0.747,0.0002750,12,0.7486
22,22,False,True,True,4.421,1.000,4.138,0.9305,0.9305,0.9305,0.7216,0.2466,0.0318,0.720,0.0001147,12,0.7196
27,27,False,True,False,1.000,5.000,5.000,0.8319,0.3085,0.9111,0.4147,0.5853,2.22e-16,0.7550,0.0001209,12,0.7551
32,32,False,False,True,4.829,1.000,4.079,0.1000,0.8659,1.000,1.000,1.000,0.5635,0.738,0.00008669,12,0.7539
37,37,False,False,False,5.000,1.000,5.000,1.000,1.000,1.000,0.8422,0.3003,0.00e+00,0.7970,nan,12,0.7970
