,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,1.000,5.000,1.000,1.000,1.000,1.000,0.4181,0.3423,1.000,10,0.6500,0.7629,0.0002651
1,1.000,3.026,5.000,1.000,1.000,1.000,1.000,1.000,1.000,11,0.6600,0.7211,0.0005536
2,5.000,1.000,5.000,1.000,1.000,1.000,0.8422,0.3003,0.00e+00,12,0.7970,0.7970,nan
3,1.000,5.000,5.000,1.000,1.000,1.000,0.4692,1.000,0.00e+00,13,0.7530,0.7659,0.0006965
4,1.000,4.422,1.000,1.000,0.1000,1.000,0.4156,1.000,0.00e+00,14,0.6660,0.7544,0.000388
