,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
3,3,True,True,True,50.00,11.94,10.00,0.1000,1.000,0.6615,0.5817,0.4183,1.18e-12,0.748,0.00009531,13,0.7485
8,8,True,True,False,50.00,10.00,10.00,1.000,1.000,1.000,0.6233,0.3622,0.01452,0.725,0.0005908,13,0.734
13,13,True,False,True,50.00,10.00,10.00,0.4335,1.000,1.000,0.5504,0.2944,1.27e-09,0.5700,0.0003755,13,0.7403
18,18,True,False,False,50.00,10.00,10.00,1.000,1.000,0.1000,0.7455,0.2649,1.000,0.748,0.0004988,13,0.7436
23,23,False,True,True,5.000,1.000,5.000,0.1000,1.000,1.000,0.6395,0.3605,2.08e-12,0.740,4.02e-05,13,0.7613
28,28,False,True,False,5.000,1.000,5.000,0.6767,1.000,0.6258,0.5968,0.4032,-3.82e-14,0.7540,nan,13,0.7540
33,33,False,False,True,1.000,5.000,5.000,1.000,1.000,1.000,0.4951,1.000,1.000,0.6980,0.004266,13,0.6976
38,38,False,False,False,1.000,5.000,5.000,1.000,1.000,1.000,0.4692,1.000,0.00e+00,0.7530,0.0006965,13,0.7659
