,std1,std2,std3,comp1,comp2,comp3,mu1,mu3,mu2,seed,raw_mean,best_pred,best_sem
0,0.1000,1.000,0.1000,1.000,1.000,1.000,50.00,10.00,10.00,10,0.6980,0.7227,0.0003902
1,0.1000,1.000,1.000,1.000,0.5706,0.00e+00,50.00,10.00,10.00,11,0.6400,0.7478,0.0007534
2,1.000,1.000,0.2093,1.000,1.000,0.5988,10.00,10.00,28.24,12,0.6330,0.6827,0.002751
3,0.4335,1.000,1.000,0.5504,0.2944,1.27e-09,50.00,10.00,10.00,13,0.5700,0.7403,0.0003755
4,0.1000,1.000,1.000,0.4719,0.2922,1.000,50.00,10.00,10.00,14,0.6940,0.7552,0.0004176
