,std1,std2,std3,comp1,comp2,mu1,mu3,mu2,comp3,seed,raw_mean,best_pred,best_sem
0,0.1386,0.267,0.4229,0.3004,0.04958,16.46,10.00,16.65,0.650,10,0.5210,0.5210,nan
1,0.1504,0.745,0.7527,0.204,0.3647,16.67,10.00,6.729,0.4314,11,0.5690,0.5690,nan
