,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,1.0000000000000013,4.850729684367199,3.379731736444126,0.5300321385583714,1.0,0.7408733464642058,0.07804552217727831,0.5329539469256525,0.3890005308970692,10,0.736,0.7362329023256116,4.508189792466621e-05
1,5.0,1.0,4.32476813225621,0.6123249873267976,0.8424961641617978,0.4337983431528446,0.560176878165171,0.22387293904095623,0.2159501827938728,11,0.725,0.74499565447252,6.1328788731942e-05
2,1.0000000008577914,4.50408864232295,3.443901471186259,0.8352722995387583,0.2481211451706726,0.3239675831649453,0.4281271004044723,0.5718728989569957,6.385320050483756e-10,12,0.752,0.7550176137990433,2.9857203852198863e-05
3,3.669781352174772,1.0,4.531297326803366,0.8998838263762783,0.7255381575538153,0.3251683251981985,0.5649197444421138,0.22143648175086994,0.21364377380701627,13,0.713,0.7372325208760528,6.558002212721502e-05
4,1.0,4.499837825878705,4.706695086584577,0.7059995080795839,0.9999999999999999,0.5456850762688773,0.19071219113039514,0.3263477419436816,0.4829400669259233,14,0.708,0.7226248089325102,0.0001709778469917366
5,1.4394807593973324,4.144566117214293,1.6426813953513975,0.9135486943099487,0.3609469280439843,0.9174293762379735,0.3421364818510991,0.4868932018442351,0.17097031630466586,15,0.733,0.7410124791609133,1.012890338891191e-05
6,3.630190965857925,1.0,4.136545107535838,0.6740284019583624,0.956577817264263,0.7296657639658555,0.42441563974790536,0.21175725305091647,0.36382710720117817,16,0.704,0.737828672350575,4.021233441845912e-05
7,1.0,5.0,2.801438901455226,0.922371803593068,0.42808989760379834,0.7441720502602396,0.34295759585455554,0.4088538895151356,0.2481885146303089,17,0.741,0.7743193862297263,8.547543758562643e-05
8,3.4345196882037907,1.000000000000001,4.616078946194957,0.1850253520405128,0.8855588693804194,0.8238358905515321,0.2053437109995075,0.1503751685268911,0.6442811204736014,18,0.735,0.7428436377847291,1.4656350250339877e-05
9,1.0000000000000007,3.8075754816909377,2.6586028117200784,0.7009210725847955,0.6885604582571617,0.8834752487575431,0.09956314579667051,0.29099785977760473,0.6094389944257248,19,0.717,0.7311141555644775,4.198072384815418e-05
