,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.662,0,0_0,0.7534266660610835,0.658432054022948,0.227901893761009,0.6891568476334214,0.10367284351959825,0.3155042873695493,0.24274539574980736,COMPLETED,Sobol,0.44175031688064337,145.07231,0.6608868485482874,0.010943774718271378
3,0.638,1,1_0,0.9084327183663845,1.4931342738370101,0.42593320496380327,0.5851857920177282,0.2866504150442779,0.23686267901211977,0.5138736283406615,COMPLETED,Sobol,0.2492636926472187,81.127847,0.6380758722134322,0.010896331224245423
15,0.667,2,2_0,1.3955823853611946,0.5042735164364179,0.5680203936062753,0.6243994288146496,0.418515275977552,0.6278068367391825,0.015660684555768967,COMPLETED,Sobol,0.35653247870504856,149.719197,0.6676543912590077,0.010963579557893791
27,0.612,3,3_0,1.3508347781995933,1.5066019110381603,0.47175705032423143,0.5203331598080695,0.6026662485674024,0.10480214282870293,0.31980563048273325,COMPLETED,Sobol,0.5753922266885638,57.964921,0.6215707169811715,0.01105117145337972
39,0.694,4,4_0,1.1448369733989239,0.6942395555476348,0.6657177455723285,0.7138683628290892,0.8134478837251663,0.2884316286072135,0.5621409099549055,COMPLETED,Sobol,0.149427461437881,191.957188,0.6815399397275178,0.006418448814208012
51,0.609,5,5_0,1.044539167235295,1.4482718172172706,0.2577671302482486,0.9379441565833986,0.39805098259821536,0.38280990812927485,0.2699777605012059,COMPLETED,Sobol,0.34721233136951923,144.395359,0.6167487715996528,0.010988858511580374
63,0.631,6,6_0,0.6580381616950035,1.308426486949126,0.5271450067870319,0.7247817994095385,0.6814147477038205,0.8349969983100891,0.03282315004616976,COMPLETED,Sobol,0.13217985164374113,124.226203,0.6338964867243834,0.0113563380667315
75,0.672,7,7_0,1.2517813332378864,1.157554337133964,0.1989824972115457,0.6937842348590493,0.570185333583504,0.21021657064557076,0.4698038948699832,COMPLETED,Sobol,0.31997953448444605,161.291156,0.6642174536964353,0.01042949860293175
87,0.608,8,8_0,0.36745917548735935,1.6010475009679794,0.35917000342160466,0.9684700798243284,0.5081955504603685,0.5075269537046552,0.20799704175442457,COMPLETED,Sobol,0.28447600454092026,129.251636,0.6139661189699965,0.011066295732573611
99,0.673,9,9_0,1.1827336015800636,0.4015741112331549,0.6068765715695917,0.9161151410080492,0.19696809872984888,0.11709141172468662,0.6980002596974373,COMPLETED,Sobol,0.1849083285778761,327.151573,0.6653799780836896,0.011123490981432348
