,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,best_sem,best_pred,seed,raw_mean
1,1,True,True,True,49.88,24.98,10.00,0.1794,0.7553,0.4311,0.1499,0.2144,0.6357,nan,0.5380,11,0.5380
3,3,True,True,False,20.20,29.41,10.00,0.7859,0.2431,0.7406,0.6324,0.04253,0.3250,nan,0.484,11,0.484
5,5,True,False,True,50.00,50.00,10.00,1.000,1.000,0.1000,8.45e-14,2.35e-13,1.55e-13,nan,0.491,11,0.491
7,7,True,False,False,39.09,14.60,10.00,0.7531,0.3919,0.3217,0.01428,0.450,0.2102,nan,0.4760,11,0.4760
9,9,False,True,True,4.969,4.131,4.100,0.3371,0.6415,0.8951,0.3468,0.4614,0.1918,nan,0.5690,11,0.5690
11,11,False,True,False,5.000,5.000,5.000,0.1000,0.1000,1.000,0.00e+00,1.000,0.00e+00,nan,0.488,11,0.488
13,13,False,False,True,2.905,1.120,1.477,0.4520,0.5071,0.9696,0.3557,0.05151,0.8629,nan,0.6290,11,0.6290
15,15,False,False,False,1.000,1.000,5.000,1.000,0.1000,0.1000,1.000,0.00e+00,1.000,nan,0.485,11,0.485
