,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.676,0,0_0,1.821022868156433,2.433822751045227,0.6678274571895599,0.5943159937858583,0.12564098611474037,0.2932208180427551,0.27152377367019653,COMPLETED,Sobol,0.43525540828704834,160.404557,0.6749467557770474,0.011525768572802393
3,0.705,1,1_0,3.9953752160072327,1.4540159031748772,0.9071121488697826,0.858220692910254,0.8285403075627983,0.5288135204464197,0.05367338564246893,COMPLETED,Sobol,0.41751309391111135,178.905722,0.6988891966146897,0.009982860100934706
15,0.631,2,2_0,2.8578505404293537,3.862835366278887,0.17264968138188125,0.5494886888191104,0.33005750542506573,0.10531785059720278,0.7285524699836969,COMPLETED,Sobol,0.16612967941910028,120.563631,0.630173040480489,0.01248643243574978
27,0.63,3,3_0,2.398730121552944,1.5512942373752594,0.4911610513925553,0.3693151203915477,0.4391425671987236,0.44876353442668915,0.12832396943122149,COMPLETED,Sobol,0.42291249614208937,70.439684,0.6326372242619399,0.012246324359876774
39,0.651,4,4_0,1.1781911440193653,1.095807358622551,0.29220184506848457,0.9680752804502845,0.6613850199617446,0.03897789679467678,0.21618260722607374,COMPLETED,Sobol,0.7448394959792495,273.101563,0.651671691471632,0.01232745430947547
45,0.654,5,5_0,2.6001023948192596,2.9791305027902126,0.9733463500626385,0.293074441421777,0.9738839896395802,0.18763510696589947,0.3205107180401683,COMPLETED,Sobol,0.49185417499393225,167.424207,0.6508303490057463,0.012350230773313532
46,0.677,6,6_0,4.593923181295395,3.4694677889347076,0.3184070179238916,0.7262689543887972,0.7998346839100122,0.22842429298907518,0.29795255418866873,COMPLETED,Sobol,0.4736231528222561,190.025774,0.6722248292902842,0.011752979094109309
47,0.626,7,7_0,2.7068670503795147,4.3871217854321,0.5290175340138376,0.9193953552283347,0.15407811393961313,0.9611028423532844,0.01747909653931856,COMPLETED,Sobol,0.02141806110739708,125.912857,0.6260657175838691,0.01214290590772369
48,0.659,8,8_0,3.1727138347923756,4.601586680859327,0.9468190925195813,0.5012697917409241,0.6631169675849378,0.013804291374981403,0.16061196383088827,COMPLETED,Sobol,0.8255837447941303,105.867958,0.657780506276702,0.012087643914828135
49,0.66,9,9_0,4.4051549062132835,4.061140056699514,0.6949054091237485,0.8042536039836705,0.43735891329124577,0.4709617970511317,0.24444133881479502,COMPLETED,Sobol,0.28459686413407326,147.693184,0.6697614827898749,0.01248237469654138
1,0.636,10,10_0,5.0,1.0,1.0,1.0,1.0,0.3052134931460523,4.2529699076514357e-11,COMPLETED,FullyBayesian,0.6947865068114181,422.595313,0.6389667052135464,0.011760206328708087
2,0.652,11,11_0,2.1701931211388,1.0000000017724797,0.9999999994461065,1.0,0.1,0.0,1.0,COMPLETED,FullyBayesian,0.0,2028.238585,0.6509976354845943,0.012609083324069344
4,0.66,12,12_0,4.9999999999998685,1.0000000000006757,0.9999999999999818,0.9999999999998713,0.9999999999998945,7.983395006584157e-15,0.9999999999999009,COMPLETED,FullyBayesian,9.114931032172535e-14,1210.420002,0.6586179677741614,0.0121879198676598
5,0.65,13,13_0,3.774310704735691,1.2255798684809738,0.9437508606900487,0.7164213153628497,1.0,0.9999999999999996,2.950033668312219e-16,COMPLETED,FullyBayesian,1.1102230246251565e-16,2277.074986,0.6478176274875992,0.01184982590689605
6,0.66,14,14_0,1.000000000001264,1.7532150495619547,0.8431621047767196,0.7527747792235684,0.8064163477337393,0.6745843805932394,2.952474994840539e-15,COMPLETED,FullyBayesian,0.32541561940675756,463.529434,0.6598264510233091,0.01211374850870566
7,0.696,15,15_0,5.0,2.0359430144789954,0.8462832002711452,1.0,0.7506050782051115,0.6420170039629277,0.1329924982459337,COMPLETED,FullyBayesian,0.22499049779113856,1491.64149,0.6936078476397871,0.010499196970519539
8,0.519,16,16_0,4.029270388183104,4.999999999995873,0.10000000037538737,0.10000000000417704,1.0,0.5827706925562841,0.4172293064795892,COMPLETED,FullyBayesian,9.641266673909854e-10,3796.671024,0.5228866592663624,0.012873544008066388
9,0.521,17,17_0,1.0,5.0,1.0,0.1,0.1,5.420667226943169e-18,1.0,COMPLETED,FullyBayesian,0.0,2455.871889,0.5220628508943985,0.012806164353772397
10,0.736,18,18_0,3.8078025152364585,1.0,0.8933781585527739,0.8342088426486292,0.7886947471537539,0.5520823624859102,0.2312047418825854,COMPLETED,FullyBayesian,0.2167128956315043,489.254059,0.7261733139751648,0.007830494285084052
11,0.645,19,19_0,3.972902440966715,1.0000000000002547,0.7977046020568059,0.7740298596750053,0.9999999999999819,1.0727651300496055e-13,0.9999999999996844,COMPLETED,FullyBayesian,2.0838886172214188e-13,2916.670395,0.6438907564794761,0.011830865507208434
12,0.681,20,20_0,4.2381705843281825,2.1005380085066614,0.9999999999999999,0.7857549644545125,0.8156257993750048,0.5200349685963453,0.041515317990040934,COMPLETED,FullyBayesian,0.4384497134136137,2669.781819,0.681149455114463,0.00952517885873022
13,0.69,21,21_0,3.618955043861855,1.0,0.9087722154559857,1.0,0.745953630752237,0.572006664160599,0.374738886456192,COMPLETED,FullyBayesian,0.053254449383209,1219.905514,0.7008201936341832,0.011028215894905989
14,0.687,22,22_0,3.7720454938440238,1.0,0.9502001538978304,0.7424732121444283,0.6998343753367389,0.505091426685535,0.4949085733144651,COMPLETED,FullyBayesian,0.0,673.177528,0.6845019112562273,0.011896326189285862
16,0.749,23,23_0,3.832592077855988,1.0,1.0,1.0,0.7616115594940089,0.8003589625280118,0.19964103830530597,COMPLETED,FullyBayesian,-8.333176371166928e-10,1607.961623,0.7366574913116406,0.008094203013566057
17,0.512,24,24_0,4.550723599312477,1.0,0.8868410360994147,0.1,0.7553653854942682,0.0,1.0,COMPLETED,FullyBayesian,0.0,2051.048038,0.5143245851355644,0.012798400952848683
18,0.695,25,25_0,4.417481261621697,1.0,0.8378735920027409,0.8068242244762128,0.7817789410595626,0.5799556421952895,0.21045903048484943,COMPLETED,FullyBayesian,0.20958532731986113,708.761292,0.7091159938099592,0.010265982762666744
19,0.736,26,26_0,3.864583975515954,1.0538818464014628,0.8416007471590126,0.8769870829581786,0.8196526442593718,0.54460625130514,0.2503259706357651,COMPLETED,FullyBayesian,0.20506777805909493,1081.132385,0.72771983138246,0.007980723569803394
20,0.747,27,27_0,4.99999999980737,1.0000000000413953,0.9999999999819099,0.999999999996397,0.10000000002691259,0.6989370843923215,0.30106291560710996,COMPLETED,FullyBayesian,5.685452109105427e-13,1473.303178,0.736919461770317,0.011549202369729053
21,0.735,28,28_0,5.0,1.000000000000001,0.1,0.9016648569851398,1.0,0.5775168281743169,0.4224831718256829,COMPLETED,FullyBayesian,2.220446049250313e-16,1909.896159,0.7300167697652692,0.010934677184102907
22,0.72,29,29_0,3.6735468224538836,1.0,0.9999999999838114,0.9999999999893195,0.5682196069318911,0.845981118658239,0.15401888132266717,COMPLETED,FullyBayesian,1.9093837622108367e-11,1640.885687,0.726019603178514,0.009197558240887888
23,0.727,30,30_0,3.308945228848065,1.0000000000000162,1.0,1.0,0.7844153038200942,0.7881999388430648,0.21180006115687627,COMPLETED,FullyBayesian,5.88418203051333e-14,4441.182328,0.7302663935290362,0.00806043128638986
24,0.515,31,31_0,5.0,1.0,0.1,1.0,0.7520237876201336,1.0,0.0,COMPLETED,FullyBayesian,0.0,1795.383814,0.5270528181991119,0.015804106801419974
25,0.623,32,32_0,1.0,1.0,1.0,1.0,1.0,0.6922721708671996,0.30772782913280045,COMPLETED,FullyBayesian,0.0,2411.76115,0.6286907616827271,0.012054014472838801
26,0.755,33,33_0,3.0840169965980047,1.0000000001398086,0.9999999996403034,0.999999999951998,0.10000000001961247,0.5909944795685018,0.14944026683478143,COMPLETED,FullyBayesian,0.2595652535967168,652.497722,0.741639747394516,0.013296902967895676
28,0.644,34,34_0,3.757542245464385,2.578369373595122,0.9999999999999484,1.0,1.0,3.9624237780412634e-14,0.285511106751844,COMPLETED,FullyBayesian,0.7144888932481164,2789.723515,0.6461011249365746,0.011600665680904806
29,0.626,35,35_0,5.0,1.0,1.0,0.9999999999999999,0.1,1.4089214583128488e-18,0.4423644743047332,COMPLETED,FullyBayesian,0.5576355256952668,579.628498,0.6292788015617209,0.012219355783305632
30,0.649,36,36_0,1.0,1.0000000040359436,1.0,0.9999999998648126,0.1,0.7760090245710465,0.22399096265469134,COMPLETED,FullyBayesian,1.2774262203585351e-08,1388.606751,0.6509457479431491,0.011792174054432536
31,0.641,37,37_0,5.0,1.0,1.0,1.0,0.1,0.0,0.2179869777775876,COMPLETED,FullyBayesian,0.7820130222224124,378.549698,0.6433770675502016,0.012234479979770927
32,0.737,38,38_0,5.0,1.0,0.1,1.0,0.1,0.6030109165786188,0.3969890834213891,COMPLETED,FullyBayesian,-7.993605777301127e-15,757.972572,0.7368646023977813,0.008960341667800976
33,0.749,39,39_0,4.530013308902651,1.0,0.1,1.0,0.1,0.7284679863845919,0.27153201361540896,COMPLETED,FullyBayesian,-8.881784197001252e-16,2521.73375,0.7379490688894417,0.013935588828868103
34,0.684,40,40_0,5.0,1.0,0.1,1.0,1.0,0.29182146823314614,0.7081785317710866,COMPLETED,FullyBayesian,-4.232614259080947e-12,361.392546,0.6853413085712997,0.008921466392305726
35,0.687,41,41_0,5.0,1.0,0.1,1.0,1.0,0.2976431887599394,0.7023568112400628,COMPLETED,FullyBayesian,-2.220446049250313e-15,1715.174634,0.686124082824345,0.008833379904504075
36,0.656,42,42_0,1.0,1.0,0.1,1.0,0.1,0.4857923425569693,0.5142076574430313,COMPLETED,FullyBayesian,-6.661338147750939e-16,1902.546515,0.6574809237139679,0.009119179923914195
37,0.66,43,43_0,1.0000000000171667,1.0,0.10000000003080771,1.0,0.1,0.4963004674786868,0.5036995325290814,COMPLETED,FullyBayesian,-7.76823050330222e-12,616.045752,0.6575086090113427,0.009027420468269017
38,0.714,44,44_0,4.087502575906875,1.0000000000000002,0.2594904159790724,0.9999999999999998,0.10000000000000009,0.5147235805671865,0.4852764194328135,COMPLETED,FullyBayesian,0.0,1511.232968,0.7147656661193668,0.010126804853069734
40,0.643,45,45_0,5.0,1.0,1.0,0.8429215410808328,0.1,0.7724379689831016,0.0,COMPLETED,FullyBayesian,0.22756203101689843,693.596657,0.6444021443720175,0.01214718379538043
41,0.733,46,46_0,3.8256503477998605,1.0000000000000002,0.9999999999999999,0.9504534393074232,0.1,0.6936099842628032,0.2152908974889993,COMPLETED,FullyBayesian,0.0910991182481975,788.072253,0.7399204329509964,0.008057766258695052
42,0.645,47,47_0,5.0,5.0,0.1,1.0,0.1,1.8340404076027086e-17,0.9999999999999999,COMPLETED,FullyBayesian,1.1102230246251565e-16,460.510377,0.6453381028959132,0.012584840863308178
43,0.714,48,48_0,5.0,2.500132185212829,0.10000000000000002,1.0,0.10000000000000002,0.5117291805088399,0.4882708194911604,COMPLETED,FullyBayesian,-2.220446049250313e-16,322.270124,0.7134642233690186,0.010406279002349509
