,std1,std2,std3,comp1,comp2,comp3,mu1,mu3,mu2,seed,raw_mean,best_pred,best_sem
0,0.8733358078078174,0.8733358078078204,0.2307979075626476,0.6062574070811123,0.45825535509897614,0.2161740177361078,11.837624673947602,10.0,3.3333333333333357,10,0.711,0.7334258772796366,5.6430738700115956e-05
1,0.3760589144799287,0.8452470504604076,0.23238254446035658,0.6188736896588677,0.2339493830521409,0.461193697842723,16.666666666666472,10.0,3.3333333333341626,11,0.749,0.7656194986471085,1.6732871571750473e-05
2,0.7896303734531115,0.9012792587871996,0.5927613960118517,0.5738629571480547,0.15431113374007227,0.31993001478608224,16.666666666666668,10.0,3.3333333333333828,12,0.773,0.7521217668922131,3.340976316312374e-05
3,0.2788959878258535,0.8678407190092492,0.21393266540879807,0.9461880437801755,0.4169052673976507,0.5087354535097243,16.666666666666668,10.0,3.333333333333333,13,0.6900000000000001,0.7658808500368921,1.4767661326252789e-05
4,0.3598642774813118,0.7012152659553527,0.9999999999999988,0.4783591606779572,0.2655721902891671,0.3065954386100127,16.58434759973116,10.0,3.3333333333333384,14,0.723,0.7612337111187443,1.7488683818820385e-05
5,0.9129704277737962,0.9129704277737962,0.4111191298035961,0.6567553333942725,0.295083001810183,0.8583781209756493,14.848378618199423,10.0,3.333333333333333,15,0.739,0.7340165704961131,5.1276637203482756e-05
6,0.2140507844764228,0.8290277956205119,0.49147565470995946,0.7165670778664466,0.4036825978766136,0.7863203230179584,15.595042609750784,10.0,3.3333333333333357,16,0.748,0.7605453193463003,2.5585096371115945e-05
7,0.3648543112107917,0.9136879734782111,0.2553331280508385,0.34088075601517237,0.16476841924418967,0.34588230835048006,16.666666666666554,10.0,3.333333333333333,17,0.74,0.7609782999674831,1.6996406260724583e-05
8,0.20765757862964979,0.9508062069336539,0.4102392624626504,0.5330927406355974,0.2611401826094904,0.45155891343263704,15.52816788362124,10.0,4.051152355148178,18,0.708,0.7524327013940638,1.848760208899379e-05
9,0.5266360921378085,0.8191723889500676,0.853309663621554,0.7738301623203865,0.33104840924113993,0.37920453341263866,15.262464116384766,10.0,3.3333333333937465,19,0.722,0.7460438675458636,2.080387751897052e-05
