,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,seed,best_pred,best_sem
1,1,True,True,True,16.67,6.729,10.00,0.1504,0.745,0.7527,0.204,0.3647,0.4314,0.5690,11,0.5690,nan
3,3,True,True,False,6.734,9.803,10.00,0.7859,0.2431,0.7406,0.6324,0.04253,0.3250,0.585,11,0.585,nan
5,5,True,False,True,14.16,12.63,10.00,0.4245,1.000,0.2421,0.2460,0.8434,0.02404,0.4770,11,0.4770,nan
7,7,True,False,False,9.926,3.532,10.00,0.5682,0.4453,0.4084,0.00e+00,0.5690,0.4023,0.5360,11,0.5360,nan
9,9,False,True,True,4.969,4.131,4.100,0.3371,0.6415,0.8951,0.3468,0.4614,0.1918,0.5550,11,0.5550,nan
11,11,False,True,False,4.832,1.561,3.552,0.6027,0.2385,0.1166,0.8342,0.1638,0.001935,0.5600,11,0.5600,nan
13,13,False,False,True,2.677,3.204,3.083,0.1933,0.6807,0.8342,0.6897,0.4162,0.7395,0.5430,11,0.5430,nan
15,15,False,False,False,4.671,1.014,4.621,0.1894,0.1777,0.1000,0.2895,0.1187,0.9925,0.5350,11,0.5350,nan
