,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,seed,best_pred,best_sem
0,0,True,True,True,16.46,16.65,10.00,0.1386,0.267,0.4229,0.3004,0.04958,0.650,0.5210,10,0.5210,nan
2,2,True,True,False,15.35,13.20,10.00,0.8143,0.2465,0.7179,0.0776,0.2344,0.688,0.5130,10,0.5130,nan
4,4,True,False,True,8.544,10.25,10.00,0.1000,0.8282,0.1000,0.3775,1.000,0.6511,0.5380,10,0.5380,nan
6,6,True,False,False,13.45,13.27,10.00,0.6902,0.3372,0.4068,0.1588,0.3141,0.4022,0.5460,10,0.5460,nan
8,8,False,True,True,3.772,3.604,1.438,0.3403,0.5369,0.7073,0.8691,0.07107,0.05982,0.5670,10,0.5670,nan
10,10,False,True,False,1.000,4.786,4.395,0.4940,0.9980,0.9988,2.21e-05,0.6605,0.3395,0.622,10,0.622,nan
12,12,False,False,True,4.433,4.046,4.232,0.2057,0.2928,0.3244,0.4024,0.1431,0.5611,0.5270,10,0.5270,nan
14,14,False,False,False,4.974,4.445,4.903,0.1010,0.2104,0.1317,0.2620,0.00007653,0.7376,0.5020,10,0.5020,nan
