,std1,std2,std3,comp1,comp2,mu1,mu3,mu2,comp3,seed,raw_mean,best_pred,best_sem
0,0.7830,0.2507,0.7948,0.2641,0.5129,3.333,10.00,16.67,0.2230,10,0.6490,0.7473,4.29e-05
1,0.9349,0.4951,1.000,0.1124,0.482,3.333,10.00,16.67,0.4056,11,0.7670,0.7618,0.00008604
2,0.8105,0.8834,0.9148,0.5417,0.1584,14.25,10.00,3.442,0.2999,12,0.720,0.7355,2.97e-05
3,0.3856,0.912,0.3928,0.4984,0.3595,11.61,10.00,3.333,0.1421,13,0.727,0.7425,1.66e-05
4,0.5373,0.8871,0.5877,0.6748,0.2906,16.67,10.00,4.552,0.03461,14,0.6920,0.7391,0.00005462
