,std1,std2,std3,comp1,comp2,comp3,mu1,mu3,mu2,seed,raw_mean,best_pred,best_sem
0,0.1314,0.7904,0.1734,0.3523,0.997,0.4514,33.81,10.00,18.63,10,0.5760,0.5760,nan
1,1.000,1.000,0.1000,8.45e-14,2.35e-13,1.55e-13,50.00,10.00,50.00,11,0.491,0.491,nan
