,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
3,3,True,True,True,15.99,3.333,10.00,0.4652,0.8389,0.4360,0.5587,0.3199,0.1214,13,0.00005819,0.7495,0.712
8,8,True,True,False,11.61,3.333,10.00,0.3856,0.912,0.3928,0.4984,0.3595,0.1421,13,1.66e-05,0.7425,0.727
13,13,True,False,True,13.76,3.333,10.00,0.3353,0.8921,0.560,0.7514,0.4296,0.4073,13,4.51e-05,0.7607,0.743
18,18,True,False,False,14.76,3.686,10.00,0.9763,0.7264,0.4182,0.696,0.2925,0.00e+00,13,0.0001024,0.7395,0.7620
23,23,False,True,True,4.186,1.211,3.688,0.3295,0.8986,0.8986,0.4065,0.1878,0.4057,13,3.17e-05,0.7428,0.736
28,28,False,True,False,4.430,1.000,3.083,0.9493,0.680,0.4653,0.7292,0.2532,0.01763,13,0.0001122,0.7414,0.747
33,33,False,False,True,4.593,1.133,3.843,0.6562,0.9192,0.9192,0.1744,0.07973,0.9515,13,2.07e-05,0.7585,0.729
38,38,False,False,False,4.625,1.000,3.869,0.5940,0.9011,0.9994,0.3267,0.1327,0.585,13,0.00009612,0.7473,0.7590
