,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
0,0,True,True,True,3.333,15.30,10.00,0.6491,1.000,0.7065,0.1833,0.8167,4.44e-16,10,4.15e-05,0.7380,0.712
5,5,True,True,False,3.333,16.67,10.00,0.7830,0.2507,0.7948,0.2641,0.5129,0.2230,10,4.29e-05,0.7473,0.6490
10,10,True,False,True,12.71,3.511,10.00,0.2391,0.873,0.1665,0.6271,0.8281,0.5567,10,2.71e-06,0.7333,0.725
15,15,True,False,False,11.64,3.333,10.00,0.7667,0.9539,0.3279,0.7463,0.7254,0.2377,10,0.00006343,0.7063,0.708
20,20,False,True,True,4.959,3.276,4.652,0.6500,0.9104,0.9104,0.3899,0.6101,1.11e-16,10,2.39e-05,0.6833,0.6720
25,25,False,True,False,1.000,4.418,3.933,0.4000,1.000,0.6278,0.1107,0.5370,0.3523,10,0.00008225,0.7226,0.711
30,30,False,False,True,4.681,1.000,4.330,0.4302,0.7581,0.9413,0.4622,0.3096,0.3925,10,3.22e-05,0.7619,0.743
35,35,False,False,False,3.539,1.000,1.757,0.7869,0.6560,0.4015,1.000,0.2646,0.9768,10,0.00005572,0.7290,0.704
