,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
1,1,True,True,True,16.67,5.379,10.00,0.1000,0.8493,0.4871,0.5663,0.3054,0.1284,11,1.76e-05,0.7382,0.735
6,6,True,True,False,3.333,16.67,10.00,0.9349,0.4951,1.000,0.1124,0.482,0.4056,11,0.00008604,0.7618,0.7670
11,11,True,False,True,15.72,3.333,10.00,0.1000,0.7062,0.2454,0.7563,0.5085,0.1415,11,3.43e-05,0.766,0.7520
16,16,True,False,False,3.333,16.67,10.00,0.884,0.4669,0.4474,0.6062,1.000,0.2874,11,0.00008040,0.7518,0.736
21,21,False,True,True,3.588,1.000,4.451,0.4612,0.8089,0.9107,0.6325,0.3433,0.02419,11,0.00005078,0.7373,0.741
26,26,False,True,False,5.000,1.186,3.380,0.5749,0.8373,0.3868,0.3657,0.2036,0.4307,11,0.00005462,0.7450,0.712
31,31,False,False,True,4.446,1.723,2.333,0.3479,0.8060,0.8060,0.9445,0.8486,0.6918,11,0.00006466,0.7210,0.711
36,36,False,False,False,1.174,4.078,5.000,0.7168,0.2566,0.6431,0.4359,0.5585,0.8622,11,0.0001929,0.7185,0.710
