,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
2,2,True,True,True,16.67,7.956,10.00,0.4027,0.8509,1.000,0.1872,0.1906,0.6222,0.711,4.37e-06,12,0.7180
7,7,True,True,False,14.25,3.442,10.00,0.8105,0.8834,0.9148,0.5417,0.1584,0.2999,0.720,2.97e-05,12,0.7355
12,12,True,False,True,13.78,3.333,10.00,0.9545,1.000,0.8708,0.4522,0.1536,0.4235,0.706,0.00005195,12,0.7315
17,17,True,False,False,3.333,13.85,10.00,0.8337,0.3912,0.3137,0.1690,0.5793,0.3798,0.732,0.00007615,12,0.7386
22,22,False,True,True,4.671,1.000,2.051,0.3832,0.6950,0.6950,0.5674,0.2513,0.1813,0.745,2.33e-05,12,0.7503
27,27,False,True,False,1.000,3.597,4.022,0.6790,0.1000,0.2618,0.5544,0.4456,1.97e-10,0.736,9.70e-06,12,0.7356
32,32,False,False,True,1.000,3.515,4.317,0.6411,0.6411,0.8023,0.3011,0.8761,0.1746,0.721,0.00006084,12,0.7185
37,37,False,False,False,4.334,1.000,5.000,1.000,0.8961,0.9486,0.5188,0.2847,0.1643,0.741,0.0001417,12,0.7411
