,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
4,4,True,True,True,14.81,3.333,10.00,0.5365,0.8943,1.000,0.3022,0.1752,0.5226,0.705,1.26e-05,14,0.7532
9,9,True,True,False,16.67,4.552,10.00,0.5373,0.8871,0.5877,0.6748,0.2906,0.03461,0.6920,0.00005462,14,0.7391
14,14,True,False,True,15.69,4.838,10.00,0.1000,0.714,0.8839,0.3777,0.3916,0.6852,0.743,0.00005212,14,0.7287
19,19,True,False,False,3.333,10.06,10.00,0.8579,0.861,0.7121,0.4044,0.7293,0.5038,0.7520,0.00005324,14,0.7413
24,24,False,True,True,4.332,1.000,4.381,0.3030,0.7910,0.7910,0.3236,0.2196,0.4568,0.7550,2.54e-05,14,0.7502
29,29,False,True,False,1.000,3.968,1.802,0.9194,1.000,0.9507,0.3214,0.4565,0.2221,0.6500,0.00007338,14,0.7505
34,34,False,False,True,4.563,1.000,2.269,0.5125,0.6898,1.000,0.740,0.6004,0.5153,0.707,0.00006946,14,0.7372
39,39,False,False,False,1.000,4.068,5.000,1.000,0.3056,0.8016,0.326,0.5887,0.7833,0.748,3.28e-05,14,0.7557
