,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,3.539,1.000,1.757,0.7869,0.6560,0.4015,1.000,0.2646,0.9768,10,0.704,0.7290,0.00005572
1,1.174,4.078,5.000,0.7168,0.2566,0.6431,0.4359,0.5585,0.8622,11,0.710,0.7185,0.0001929
2,4.334,1.000,5.000,1.000,0.8961,0.9486,0.5188,0.2847,0.1643,12,0.741,0.7411,0.0001417
3,4.625,1.000,3.869,0.5940,0.9011,0.9994,0.3267,0.1327,0.585,13,0.7590,0.7473,0.00009612
4,1.000,4.068,5.000,1.000,0.3056,0.8016,0.326,0.5887,0.7833,14,0.748,0.7557,3.28e-05
