,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
0,0,True,True,False,5.000,2.945,4.755,0.4720,0.897,0.897,0.3403,0.3799,0.2799,10,0.705,0.7060,1.01e-05
10,10,True,False,False,1.000,4.851,3.380,0.5300,1.000,0.7409,0.07805,0.533,0.3890,10,0.736,0.7362,4.51e-05
20,20,False,True,False,4.338,1.000,1.991,0.1647,0.7096,0.7096,0.352,0.1819,0.4395,10,0.7610,0.758,1.16e-05
30,30,False,False,False,4.276,1.000,1.442,1.000,0.6085,0.6643,0.9871,0.1599,0.9560,10,0.735,0.7438,2.70e-05
