,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,4.741348915071121,1.0,1.0,0.7846381908504002,0.6456615677620644,0.21723716865455642,0.6350822435035303,0.3222464814964175,1.0,10,0.745,0.7503495784093426,4.840437882533723e-05
1,1.0,5.0,5.0,0.7085650710287162,0.1,0.5600385340335419,0.49599176695953556,0.6211173253813747,0.6929667824461996,11,0.741,0.7416928550694233,1.2484043155786827e-05
2,4.7048975676783735,1.0,5.0,1.0,0.8907042247173877,1.0,0.3366020458239162,0.09058429358129388,0.13889120660229912,12,0.73,0.7413439504221692,4.208600463806892e-05
3,5.0,1.0,3.8105695441687786,0.39477416593180836,1.0,1.0,0.43083142737845903,0.1764274596209128,0.7564303880338179,13,0.754,0.7550950589187464,2.1505652670896015e-05
4,1.0,2.6590660705099802,4.604467819015191,0.8937628183287823,0.42627749052409325,0.8570056080052904,0.6779977027335541,0.722132169010217,0.8076101260696582,14,0.6950000000000001,0.7277755640041832,1.7137335416139445e-05
5,1.0,4.8999453254899255,2.3117809607419226,0.8808840520453278,0.32461263114743866,0.6776617049672298,0.37812206417761995,0.84169629960944,0.17396411559837838,15,0.757,0.7608808424720376,4.2614206004699534e-05
6,3.500935279262847,1.0,3.6844966332235227,0.37698049734595007,0.8829665291164567,0.3091588223616326,0.7580286721302769,0.4869495481121065,0.46023723016109436,16,0.737,0.7439076189805716,8.525416285216042e-05
7,5.0,1.0,1.5649292115678177,0.2320376123844261,0.8824962573804161,0.545423513046809,0.8864367908490909,0.38836675754157574,0.8368587467850916,17,0.78,0.7622839559583146,4.7898039363755556e-05
8,1.0,4.532083038020653,3.543224385314715,0.8778747993821662,0.6973347195501107,0.9047162204497529,0.2890136596379436,0.5970399256596726,0.39316031531520096,18,0.727,0.7449283038788479,2.483946774144991e-05
9,1.0,5.0,1.0,0.7014091077228243,0.24259525253194794,0.7278910214684422,0.4002140054421405,1.0,0.6775734216711632,19,0.6910000000000001,0.7664389042589519,1.8093776171206403e-05
