,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
3,3,True,True,False,4.596,1.000,3.561,0.4440,0.6374,0.8137,0.6252,0.3577,0.01716,13,0.725,0.7353,1.97e-05
13,13,True,False,False,3.670,1.000,4.531,0.8999,0.7255,0.3252,0.5649,0.2214,0.2136,13,0.713,0.7372,0.00006558
23,23,False,True,False,5.000,1.000,4.483,0.569,1.000,1.000,0.4024,0.1591,0.6091,13,0.7760,0.7545,4.14e-05
33,33,False,False,False,4.632,1.116,3.994,0.6069,0.9404,0.9635,0.2925,0.1289,0.6380,13,0.750,0.7406,2.41e-05
