,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,best_sem,best_pred,raw_mean,seed
6,6,True,True,True,13.83,3.333,10.00,0.1000,0.8702,0.7443,0.3692,0.2032,0.4276,1.25e-05,0.7557,0.748,16
16,16,True,True,False,14.56,3.333,10.00,0.2513,0.8749,0.8728,0.2656,0.1194,0.615,1.43e-05,0.7614,0.747,16
26,26,True,False,True,15.60,3.333,10.00,0.2141,0.8290,0.4915,0.7166,0.4037,0.7863,2.56e-05,0.7605,0.748,16
36,36,True,False,False,14.76,3.333,10.00,0.7665,0.8441,0.9971,1.000,0.381,0.3557,4.27e-05,0.7469,0.742,16
46,46,False,True,True,1.000,5.000,2.796,0.5413,0.5413,0.5423,0.1924,0.6889,0.1187,1.33e-05,0.7505,0.741,16
56,56,False,True,False,4.376,1.000,4.243,0.2897,0.8692,0.738,0.5417,0.2886,0.1696,4.88e-05,0.7582,0.722,16
66,66,False,False,True,5.000,1.000,2.032,0.3943,0.9071,0.9071,1.000,0.4437,0.1541,2.49e-05,0.7575,0.721,16
76,76,False,False,False,3.501,1.000,3.684,0.377,0.883,0.3092,0.7580,0.4869,0.4602,0.00008525,0.7439,0.737,16
