,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_pred,raw_mean,best_sem
4,4,True,True,True,16.67,3.333,10.00,0.1000,0.832,1.000,0.384,0.2509,0.3651,14,0.7581,0.720,3.28e-05
14,14,True,True,False,3.333,15.95,10.00,1.000,0.1615,0.9833,0.3559,0.5885,0.05560,14,0.7534,0.7580,2.25e-05
24,24,True,False,True,16.58,3.333,10.00,0.3599,0.7012,1.000,0.4784,0.2656,0.3066,14,0.7612,0.723,1.75e-05
34,34,True,False,False,3.333,14.91,10.00,0.9032,0.2919,1.000,0.7131,0.9743,0.6611,14,0.7529,0.7540,0.00005254
44,44,False,True,True,5.000,1.000,2.405,0.1000,0.8591,0.8591,0.4819,0.2571,0.2611,14,0.7558,0.726,2.17e-05
54,54,False,True,False,1.000,4.636,4.205,0.6984,0.9345,0.6390,0.2208,0.5820,0.1971,14,0.7480,0.705,3.85e-05
64,64,False,False,True,3.819,1.000,3.349,0.1192,0.694,0.8412,0.6407,0.339,0.5411,14,0.7411,0.744,1.29e-05
74,74,False,False,False,1.000,2.659,4.604,0.8938,0.4263,0.8570,0.678,0.7221,0.8076,14,0.7278,0.6950,1.71e-05
