,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
8,8,True,True,False,4.819,1.000,1.078,0.3024,0.6051,0.8601,0.4864,0.2749,0.2387,18,0.730,0.7442,4.69e-05
18,18,True,False,False,3.435,1.000,4.616,0.1850,0.8856,0.8238,0.2053,0.1504,0.6443,18,0.735,0.7428,1.47e-05
28,28,False,True,False,4.555,1.000,2.683,0.3497,0.9048,0.9338,0.7948,0.4709,0.2981,18,0.744,0.7654,4.41e-05
38,38,False,False,False,1.000,4.306,3.679,0.9977,0.6613,0.8672,0.3064,0.6109,0.5067,18,0.7610,0.7475,0.00009058
