,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
9,9,True,True,False,3.955,1.000,4.278,0.2921,0.8514,0.8514,0.5332,0.4365,0.03022,19,0.7510,0.7562,2.54e-05
19,19,True,False,False,1.000,3.808,2.659,0.7009,0.6886,0.8835,0.09956,0.291,0.6094,19,0.717,0.7311,4.20e-05
29,29,False,True,False,1.000,4.865,3.997,0.5686,0.7202,0.8773,0.2082,0.6773,0.03075,19,0.744,0.7431,0.00005158
39,39,False,False,False,1.000,5.000,1.000,0.7266,0.3159,0.5771,0.4828,0.9279,0.6192,19,0.7700,0.7745,2.08e-05
