,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_sem,best_pred
7,7,True,True,False,1.000,4.695,1.909,0.6416,0.6881,0.8478,0.2346,0.7654,9.73e-13,17,0.740,2.35e-05,0.7467
17,17,True,False,False,1.053,5.000,2.870,0.898,0.3085,0.6462,0.2776,0.4988,0.2236,17,0.738,3.21e-05,0.7574
27,27,False,True,False,5.000,1.000,2.706,0.2342,0.8887,1.000,0.8537,0.3952,0.03841,17,0.7530,1.99e-05,0.761
37,37,False,False,False,5.000,1.000,1.565,0.2320,0.8825,0.5454,0.8864,0.3884,0.8369,17,0.7800,4.79e-05,0.7623
