,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
1,1,True,True,False,3.029,1.000,3.455,0.6409,0.8470,0.9202,0.4987,0.3637,0.1375,11,0.714,0.7289,2.55e-05
11,11,True,False,False,5.000,1.000,4.325,0.6123,0.8425,0.4338,0.5602,0.2239,0.216,11,0.725,0.745,0.00006133
21,21,False,True,False,5.000,1.859,3.059,0.3659,0.8224,0.8224,0.9368,0.6043,0.797,11,0.730,0.7247,2.75e-05
31,31,False,False,False,1.338,5.000,4.471,0.7214,0.1000,0.6603,0.5218,0.4996,0.6228,11,0.7520,0.7471,2.57e-05
