,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
2,2,True,True,False,4.505,1.000,3.190,0.1000,0.7323,0.888,0.6135,0.3865,0.00e+00,12,0.7590,0.7508,0.00005315
12,12,True,False,False,1.000,4.504,3.444,0.8353,0.2481,0.324,0.4281,0.5719,6.39e-10,12,0.7520,0.7550,2.99e-05
22,22,False,True,False,4.742,1.000,5.000,0.5654,0.8201,1.000,0.5328,0.1877,0.3668,12,0.7890,0.7493,0.0002168
32,32,False,False,False,4.782,1.000,5.000,0.9398,0.8814,1.000,0.06584,0.07141,0.09923,12,0.716,0.7467,0.00008070
