,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
0,0,True,True,True,3.333333333333333,15.297247990091215,10.0,0.6490510749790205,0.9999999999999999,0.7064680197273032,0.18325619681038738,0.8167438031896121,4.440892098500626e-16,10,4.148097997571974e-05,0.7380311039918672,0.712
1,1,True,True,True,16.666666666666668,5.378617679908234,10.0,0.1,0.8493107095161254,0.48707215356305456,0.5662599008063018,0.30536577260653425,0.12837432658716397,11,1.760147519804662e-05,0.7381627338895925,0.735
2,2,True,True,True,16.666666666666668,7.956106320130528,10.0,0.4027184125790917,0.8509477681553288,0.9999999999999999,0.18722692485480405,0.19058300088113278,0.6221900742640631,12,4.373229258283544e-06,0.7180163011810904,0.711
3,3,True,True,True,15.992264352875335,3.333333333336231,10.0,0.46520808716108275,0.8388662762378194,0.4360270921216648,0.5586730298274939,0.3199084441507728,0.12141852602173331,13,5.818638038326346e-05,0.7494549467316542,0.712
4,4,True,True,True,14.805518610655742,3.333333333333508,10.0,0.5364928270125442,0.8943386475944402,0.9999999999975888,0.3022389135583,0.17518178510459867,0.5225793013371013,14,1.2613617537497373e-05,0.7532020349943913,0.705
5,5,True,True,False,3.333333333333333,16.666666666666668,10.0,0.7830250801935512,0.25074359522474576,0.7948027541294604,0.2640934329237428,0.5128905974631136,0.22301596961314352,10,4.294508334025862e-05,0.7473300576786784,0.649
6,6,True,True,False,3.3333333333333437,16.666666666666668,10.0,0.9349402839223869,0.49509876368053896,1.0,0.11241984796241229,0.48197015110475505,0.4056100009328326,11,8.604438506841626e-05,0.7618204353993695,0.767
7,7,True,True,False,14.251491615192524,3.4420884028874594,10.0,0.8105187381264695,0.8834343232176011,0.9147880168051262,0.5417100563720901,0.15842645042319112,0.2998634932047187,12,2.9691384775780842e-05,0.735488904615541,0.72
8,8,True,True,False,11.608089111839686,3.3333333333334236,10.0,0.38559838877796293,0.9119560320501843,0.3927555955254194,0.4984295122668522,0.35949100206248297,0.14207948567066486,13,1.661630292811222e-05,0.7425170183798477,0.727
9,9,True,True,False,16.666666666666668,4.552291717204336,10.0,0.5372914895383425,0.8870840820717288,0.5877211645830676,0.6748094166281824,0.29057562701059914,0.034614956361218474,14,5.4624321294089306e-05,0.7391097362157759,0.6920000000000001
10,10,True,False,True,12.707923690907093,3.5105443689314875,10.0,0.23908683981013623,0.872995320458495,0.16653256507716452,0.6271470449849622,0.8281252022213295,0.5566801600568485,10,2.7103388600706257e-06,0.7332741226520589,0.725
11,11,True,False,True,15.716218938425211,3.333333333333333,10.0,0.10000000000025983,0.7061618599317927,0.2454447422606715,0.7562909353016838,0.5084803420206582,0.14147718591844877,11,3.4281035362013474e-05,0.7659526414705322,0.752
