,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
22,22,False,True,True,4.670974365229137,1.0000000000247051,2.0509545086282133,0.3831562858312456,0.6950201020712004,0.6950201020740483,0.5673648445649804,0.25130729460976714,0.18132786082525243,12,2.3265181984932324e-05,0.7502529545526496,0.745
23,23,False,True,True,4.186336917865643,1.2107524758590495,3.6879161146682433,0.32947590677498506,0.8985551131823327,0.8985551131823327,0.40651530786062157,0.1877906275908233,0.40569406454855517,13,3.174428517231011e-05,0.7427929934399595,0.736
24,24,False,True,True,4.331655587863105,1.0000001604346318,4.381398045347224,0.303003166065637,0.7910225324126704,0.791022539434123,0.3235802375934025,0.21960515900304,0.4568146034035575,14,2.5429702048406805e-05,0.7501523049197083,0.755
25,25,False,True,False,1.0,4.41760632677876,3.9328085115996037,0.4000405279774072,0.9999999999999999,0.6277971970322066,0.11065729205270741,0.5370090384954607,0.352333669451832,10,8.224976576645645e-05,0.7225862066372462,0.711
26,26,False,True,False,5.0,1.1858285117048617,3.380188207629842,0.5749192810811398,0.8373035204659067,0.3868477528635108,0.36571240948916,0.2035509504499384,0.4307366400609016,11,5.4624450741607054e-05,0.7450369933491757,0.712
27,27,False,True,False,1.0000000024225808,3.5970079939641524,4.021999107669,0.6790046520076889,0.1,0.26178781121006156,0.5543590011521825,0.4456409986507427,1.9707480092279184e-10,12,9.704050770786618e-06,0.7356455758106076,0.736
28,28,False,True,False,4.430224079271503,1.0000000007528285,3.082776445278885,0.949321158202814,0.6799750284350566,0.4653447685590939,0.7291507578150531,0.25321425068239534,0.017634991502551545,13,0.00011218901250480524,0.7413523577711068,0.747
29,29,False,True,False,1.0000000000000029,3.9683164398632003,1.8019691728138456,0.9193503937335009,0.9999999999999994,0.950661848722191,0.3214247831139841,0.4565063604994888,0.22206885638652718,14,7.338378139658743e-05,0.7505075134822694,0.65
30,30,False,False,True,4.681380574015812,1.0,4.330410488665134,0.43021410536255156,0.7581389140815695,0.9412690046294271,0.4622278543467209,0.3095657086189095,0.3924803869645234,10,3.2160162145844376e-05,0.7619452912528349,0.743
31,31,False,False,True,4.445940315546122,1.7232520752201896,2.3328871686026775,0.34793550662488115,0.8060440074226826,0.8060440074226826,0.944505142332997,0.8486244830736449,0.6918487944253949,11,6.46647191556591e-05,0.7210281803021502,0.711
32,32,False,False,True,1.0000000000000009,3.5147890557790484,4.3172555654057625,0.6410710582771904,0.641071058277191,0.8023262883022493,0.30109202163202353,0.8761379651361642,0.17459094629355582,12,6.084229917113755e-05,0.7185054083931859,0.721
33,33,False,False,True,4.593202668210363,1.1334107140474867,3.8433323998935607,0.6561778298788382,0.9192487807349096,0.9192487807349096,0.17439841113777865,0.07972994127345273,0.9515431089556216,13,2.0690861197214148e-05,0.7585257166356169,0.729
34,34,False,False,True,4.563412478247512,1.0,2.2693280461623844,0.5124641737775822,0.6898156797446798,1.0,0.7399738047371419,0.6004275981222573,0.5152535964633864,14,6.946460706866006e-05,0.7372106825315696,0.707
35,35,False,False,False,3.539201030345862,1.0,1.7570696362680658,0.7868567241651054,0.6560231065811211,0.40151887760052296,1.0,0.26459675318769277,0.9767708716960957,10,5.5717351429775406e-05,0.7290253852770596,0.704
36,36,False,False,False,1.1736724228785307,4.0776942389541855,5.0,0.7168456411345044,0.2566096741874216,0.6431498740530223,0.43591720586884136,0.5584629168864652,0.8622144362175092,11,0.00019293455582663008,0.7185386790633377,0.71
37,37,False,False,False,4.334201784211753,1.0,5.0,1.0,0.8961076864257108,0.9485903615855888,0.5188218064528957,0.2846658031347203,0.16428602907039852,12,0.00014167560155756726,0.7410547847758965,0.741
38,38,False,False,False,4.624908004507854,1.0,3.8692082068603946,0.5940480050262958,0.9011464006034662,0.9994387539925915,0.32674453697889505,0.13270265413433,0.5849899478084946,13,9.611544784903052e-05,0.7473405200887019,0.759
39,39,False,False,False,1.0,4.067687459618329,5.0,1.0,0.30558852004019577,0.8016364273829589,0.325966054630874,0.5887016686482168,0.7832790525337204,14,3.275643303754356e-05,0.7556768020756337,0.748
