,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.543,0,0_0,22.606797282565385,41.66937019677833,40.11584597466141,49.94160227235966,66.9798939633742,0.6789792431518435,0.11117557715624571,0.9614534042775631,COMPLETED,Sobol,54.717195,0.5395854324898649,0.018026958121189197
3,0.611,1,1_0,13.265041409172117,9.497555418442934,9.44972409984097,34.188854984793814,52.03945773225465,0.8544287038967013,0.8688202081248164,0.21304328739643097,COMPLETED,Sobol,295.726399,0.6073855923320024,0.017591602176558255
15,0.553,2,2_0,33.115572396963834,19.960543244369326,3.3923339800201355,67.60526763786935,73.40868418624625,0.06230170372873545,0.6629679165780544,0.6761672403663397,COMPLETED,Sobol,53.7438,0.5461069580583195,0.01801564964995223
27,0.594,3,3_0,30.064596111904827,25.788676036149262,46.17368908072263,52.07221197150275,58.467489873712886,0.47108856681734324,0.42049044743180275,0.42850529588758945,COMPLETED,Sobol,39.680313,0.5851576259323694,0.01736534228542783
39,0.378,4,4_0,17.851030037570744,21.472549391612407,47.954325931793086,75.84608021364734,87.9335550871808,0.3561603631824255,0.19308373797684908,0.6262634051963687,COMPLETED,Sobol,60.736088,0.3933394767513459,0.017883871519057574
45,0.485,5,5_0,10.385033169034868,2.4737111794203517,5.449803351072594,13.431156695760787,91.74376326136291,0.37952095083892345,0.06495167501270771,0.3130160989239812,COMPLETED,Sobol,37.181999,0.4882172046039162,0.018067035301438057
46,0.663,6,6_0,35.86289237365127,29.188342081252483,20.659216087719425,36.407886312861,47.76338077643142,0.6391057251021266,0.7173036905005574,0.12062615435570478,COMPLETED,Sobol,403.761353,0.6616910528062524,0.012454927536313772
47,0.595,7,7_0,46.70819880776107,37.48595429813489,39.03662441736646,94.00849479173124,97.76360301973298,0.7618844918906689,0.6462239669635892,0.043355352245271206,COMPLETED,Sobol,392.296736,0.591523023861485,0.017960361045688877
48,0.593,8,8_0,5.867167601529508,35.1899347919412,6.840059752106667,62.33311296107062,62.77148629746773,0.5930871246382594,0.24113866314291954,0.02470121718943119,COMPLETED,Sobol,53.172829,0.5915872908647662,0.0177159722030358
49,0.324,9,9_0,48.36495684152469,44.251200629919765,0.3977475546896458,39.46403155664355,61.881791426491,0.2601981768384576,0.2906494615599513,0.6162354461848736,COMPLETED,Sobol,72.225866,0.3428385446566269,0.017982099539703703
1,0.628,10,10_0,25.912994455299504,23.636235701490104,27.80584033664606,45.90696780832982,52.417787837157405,0.6813092212938431,0.6715512839283176,0.17428480943075367,COMPLETED,GPEI,242.926298,0.6451979887707504,0.015097268392213172
2,0.634,11,11_0,42.21579174014409,31.367018973434263,36.63480554140198,52.35304453025321,60.37126599027403,0.646459470907879,0.7002303057528347,0.07533503406994324,COMPLETED,GPEI,337.010934,0.6402147094639249,0.016144458574625056
4,0.605,12,12_0,30.204856561149654,23.673588695416168,6.971584853305113,22.893016664933675,40.66316884059511,0.6830602873193459,0.8142813112150061,0.13190869722792445,COMPLETED,GPEI,227.372104,0.61278053836131,0.01626055798729492
5,0.636,13,13_0,28.182768229076128,32.75658769432763,29.198376369123167,37.29102696682919,39.10935434101631,0.5701673234919821,0.5306374574534302,0.07405802133923944,COMPLETED,GPEI,201.59652,0.6431434259214573,0.01539799475561376
6,0.63,14,14_0,36.54043574526979,20.991424599657353,31.736262038553438,36.4973112268288,46.653881860348875,0.604382295615678,0.7826225112716424,0.332161540549572,COMPLETED,GPEI,235.394387,0.6285930946214169,0.016204046273214295
7,0.666,15,15_0,38.344871096295606,30.185104847455595,9.403117944903375,50.152791382986166,65.87793368294442,0.7559206594401425,0.8069097832048185,0.09113731140708393,COMPLETED,GPEI,377.935588,0.6546935958658439,0.01527711461108598
8,0.664,16,16_0,25.000689236280873,27.24320590654487,3.838251612067157,38.80491880299325,57.04586011826956,0.7371877723090853,0.6196292540981843,3.671085988549117e-19,COMPLETED,GPEI,290.183893,0.6553653529747281,0.015248043096556023
9,0.61,17,17_0,39.72610369733568,28.36501811533608,35.21399473313334,35.21399473313334,35.21399473313334,0.49536591328346796,0.7348962955818983,0.08749655813174767,COMPLETED,GPEI,359.363717,0.6150368511701599,0.016051228688039102
10,0.655,18,18_0,31.7411283538783,29.13734288291227,18.38516688997746,18.93716539122333,48.07550981920541,0.8529941033867569,0.6960208567296531,0.20660523419745708,COMPLETED,GPEI,195.238333,0.648488887213782,0.01587888967623232
11,0.697,19,19_0,26.326724534321556,35.58699504579429,24.36119605483388,45.505904693864174,45.505904693864174,0.5313755427035568,0.8008435621934112,0.1745687007247689,COMPLETED,GPEI,424.59402,0.6674854483668027,0.011059531499299528
12,0.665,20,20_0,39.35870623626826,25.384765050273835,21.292857378336105,40.77582520519464,40.77582520519464,0.7228859100420548,0.48788896447526303,0.14046016134763373,COMPLETED,GPEI,476.983639,0.6622777822957685,0.014920257056096039
