,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.624,0,0_0,2.8578505404293537,3.862835366278887,0.17264968138188125,0.5494886888191104,0.33005750542506573,0.10531785059720278,0.7285524699836969,COMPLETED,Sobol,0.16612967941910028,120.060604,0.623154944083492,0.012847532490586535
3,0.655,1,1_0,1.1781911440193653,1.095807358622551,0.29220184506848457,0.9680752804502845,0.6613850199617446,0.03897789679467678,0.21618260722607374,COMPLETED,Sobol,0.7448394959792495,273.890352,0.6516391092353825,0.013974870763559214
15,0.686,2,2_0,4.593923181295395,3.4694677889347076,0.3184070179238916,0.7262689543887972,0.7998346839100122,0.22842429298907518,0.29795255418866873,COMPLETED,Sobol,0.4736231528222561,188.663698,0.68444920394138,0.01323181215738612
27,0.637,3,3_0,2.7068670503795147,4.3871217854321,0.5290175340138376,0.9193953552283347,0.15407811393961313,0.9611028423532844,0.01747909653931856,COMPLETED,Sobol,0.02141806110739708,129.283289,0.6370918531437644,0.012759957158423393
39,0.657,4,4_0,4.4051549062132835,4.061140056699514,0.6949054091237485,0.8042536039836705,0.43735891329124577,0.4709617970511317,0.24444133881479502,COMPLETED,Sobol,0.28459686413407326,143.772954,0.6564155184378321,0.01299896456314101
45,0.583,5,5_0,3.429849684238434,1.7355209030210972,0.1988554828800261,0.30767030622810126,0.1907317230477929,0.1619631927460432,0.7561537157744169,COMPLETED,Sobol,0.08188309147953987,72.073349,0.5840563135001998,0.012887199107409496
46,0.644,6,6_0,4.852401841431856,2.368736632168293,0.8413433746434749,0.9826694671995938,0.5462975264526904,0.0645259227603674,0.6436773519963026,COMPLETED,Sobol,0.29179672524333,332.641574,0.6440209177286358,0.012960587575604317
47,0.549,7,7_0,1.9979857802391052,4.963823530822992,0.22613457534462214,0.3931590692140162,0.9462844704277813,0.5510642314329743,0.07800162862986326,COMPLETED,Sobol,0.3709341399371624,62.207394,0.5493420030545508,0.01301832902349726
48,0.667,8,8_0,4.772274889051914,3.8010186925530434,0.5705273420549929,0.5732573824003339,0.710269167739898,0.17591214552521706,0.0011001275852322578,COMPLETED,Sobol,0.8229877268895507,119.941765,0.6614031628064422,0.014223714642251712
49,0.636,9,9_0,4.226572766900063,4.728612590581179,0.16677756644785405,0.9891802244819701,0.2879160027951002,0.4370482210069895,0.4477111352607608,COMPLETED,Sobol,0.11524064373224974,184.61086,0.6359313544497966,0.012971728807858846
