,std1,std2,std3,comp1,comp2,comp3,mu1,mu3,mu2,seed,raw_mean,best_pred,best_sem
0,0.1000,0.8282,0.1000,0.3775,1.000,0.6511,8.544,10.00,10.25,10,0.5380,0.5380,nan
1,0.4245,1.000,0.2421,0.2460,0.8434,0.02404,14.16,10.00,12.63,11,0.4770,0.4770,nan
