,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,raw_mean,best_pred,best_sem
0,1.000,4.786,4.395,0.4940,0.9980,0.9988,2.21e-05,0.6605,0.3395,10,0.622,0.622,nan
1,4.832,1.561,3.552,0.6027,0.2385,0.1166,0.8342,0.1638,0.001935,11,0.5600,0.5600,nan
