,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.645,0,0_0,1.821022868156433,2.433822751045227,3.5236775875091553,0.5943159937858583,0.12564098611474037,0.3638987362384797,0.27152377367019653,0.6113385558128357,COMPLETED,Sobol,0.11713767051696777,110.256424,0.6515167188446789,0.014334395637261953
3,0.665,1,1_0,4.546177193522453,1.3492092490196228,4.6511250250041485,0.9823241445235908,0.8581731943413615,0.620108675584197,0.08588675409555435,0.23276318330317736,COMPLETED,Sobol,0.6813500626012683,289.223113,0.6627461851367652,0.014770599106420382
15,0.623,2,2_0,2.227871660143137,1.6692237704992294,2.937668949365616,0.1443142260424793,0.4698283827863634,0.5252511844970286,0.18438832182437181,0.04634636081755161,COMPLETED,Sobol,0.7692653173580766,69.523956,0.6189339331960139,0.014706318593635614
27,0.719,3,3_0,1.1609035022556782,3.7989760637283325,4.348722953349352,0.6980226565152406,0.23102078735828402,0.19570345981046558,0.5672290651127696,0.42726912535727024,COMPLETED,Sobol,0.0055018095299601555,207.63449,0.712992485980383,0.010903865424281598
39,0.643,4,4_0,1.426884200423956,1.0004374533891678,1.7472757175564766,0.8047956021502614,0.5728617238812149,0.3206795010715723,0.18812201917171478,0.1053752526640892,COMPLETED,Sobol,0.706502728164196,115.609905,0.643891149472378,0.01436200476530784
45,0.667,5,5_0,2.5203100331127644,2.766625713557005,4.786283083260059,0.3547939006239176,0.9190543349832296,0.14614559980109335,0.3539774566888809,0.5532862730324268,COMPLETED,Sobol,0.09273627027869225,226.526439,0.6683732264099518,0.014489621264675047
46,0.585,6,6_0,3.8625450506806374,1.9459736049175262,3.913914058357477,0.31834776792675257,0.2972435036674142,0.8514865570701659,0.04248796869069338,0.16679166164249182,COMPLETED,Sobol,0.7907203696668148,74.269771,0.5934184453903502,0.014640390480317357
47,0.622,7,7_0,1.6757331117987633,1.8163812533020973,4.074690796434879,0.49740875689312813,0.33697691569104793,0.7571072887629271,0.6267893481999636,0.15582381933927536,COMPLETED,Sobol,0.21738683246076107,102.161259,0.6234367082737212,0.01458533251390073
48,0.669,8,8_0,2.7484424486756325,3.7154208049178123,2.7277844808995724,0.8577562030404806,0.15315418597310781,0.8633870935067535,0.11896863207221031,0.25526102632284164,COMPLETED,Sobol,0.625770341604948,185.30191,0.6558416846379103,0.014655213447009558
49,0.672,9,9_0,4.055151250213385,3.2698083892464638,4.9254631251096725,0.2192033935338259,0.7240917726419867,0.27623218549415474,0.14349391404539347,0.44170842971652746,COMPLETED,Sobol,0.41479765623807907,181.853433,0.665013859674093,0.01446016101393483
1,0.642,10,10_0,1.0,5.0,5.0,1.0,0.23030458312425334,0.1,1.0,0.0,COMPLETED,FullyBayesian,0.0,595.332293,0.6418687358404016,0.015271621557255585
2,0.635,11,11_0,4.999999999999991,4.999999999999895,1.0000000000000144,0.9999999999999901,0.9999999999999952,0.10000000000001014,0.9999999999999956,9.123793554830647e-16,COMPLETED,FullyBayesian,3.552713678800501e-15,737.918527,0.6325213607073888,0.015522615294215045
4,0.639,12,12_0,1.0000000000000004,4.999999999999993,4.999999999999998,0.9999999999999993,0.9999999999999998,0.10000000000000073,1.495192644816125e-16,0.09091431803702907,COMPLETED,FullyBayesian,0.9090856819629708,1359.070922,0.6352376934395171,0.015255777997784145
5,0.52,13,13_0,1.0000000000000029,4.9999999999999885,1.000000000000001,0.10000000000000057,0.10000000000000017,0.1000000000000009,0.9999999999999996,0.0,COMPLETED,FullyBayesian,4.440892098500626e-16,910.060813,0.5246588890595829,0.016188963534108543
6,0.521,14,14_0,1.000000000000232,4.999999999999121,4.999999999999654,0.9999999999998554,0.10000000000000991,0.10000000000014676,0.0,0.9999999999998518,COMPLETED,FullyBayesian,1.482147737874584e-13,1748.950944,0.5286171345944717,0.015539131402186386
7,0.641,15,15_0,4.999999999999524,4.0303278637462325,1.0000000000000562,0.9999999999999879,0.999999999999999,0.10000000000006215,6.194391485086739e-16,0.9999999999999822,COMPLETED,FullyBayesian,1.709743457922741e-14,3533.207032,0.6404931120191584,0.014830262787273047
8,0.619,16,16_0,1.000003773619228,4.999999994194023,5.0,0.10000019257409926,0.4766936796181398,0.1,4.6689814786186915e-08,0.9999999520169293,COMPLETED,FullyBayesian,1.2932559467770943e-09,1174.885857,0.6166825866981926,0.014904006015910382
9,0.629,17,17_0,4.999999999999998,3.6051048781162347,4.999999999999991,0.999999999999999,0.10000000000000626,0.10000000000000114,0.6135959387199909,0.3864040612799945,COMPLETED,FullyBayesian,1.4654943925052066e-14,1822.545873,0.6356201256932211,0.01636124139414688
10,0.678,18,18_0,1.0,5.0,4.0681513975715315,1.0,0.648199265449819,0.10000000000000003,0.4618476907276798,0.40297398249390526,COMPLETED,FullyBayesian,0.13517832677841501,608.697292,0.6900435785190041,0.013897085362594326
11,0.728,19,19_0,1.0,5.0,5.0,0.6302530598805474,0.1,0.1,0.5306591951536556,0.46934080484634333,COMPLETED,FullyBayesian,1.1102230246251565e-15,2486.341925,0.715954660349538,0.013679068161444865
12,0.646,20,20_0,1.0000000000000007,4.999999999999998,4.999999999999999,0.9999999999999996,0.9999999999999997,0.9999999999999998,0.0,0.9999999999999993,COMPLETED,FullyBayesian,6.661338147750939e-16,1158.522449,0.6478209396295356,0.015028498384494217
13,0.632,21,21_0,5.0,5.0,4.35103343070527,1.0,1.0,0.4004778277844242,0.4720860838623736,0.5279139161376265,COMPLETED,FullyBayesian,0.0,309.377298,0.6391874556571269,0.015512373354666174
14,0.598,22,22_0,5.0,3.8303188023858583,5.0,0.9999999999999999,0.39985047091643633,0.1,1.1640214721722054e-16,1.0,COMPLETED,FullyBayesian,-2.220446049250313e-16,4120.835026,0.595660658652756,0.014703551756702776
16,0.734,23,23_0,1.000000000000018,3.560494169565848,4.999999999999976,0.9999999999999974,0.4076325238279265,0.35027322160200003,0.5242472432263746,0.4757527567736288,COMPLETED,FullyBayesian,-3.552713678800501e-15,1057.056187,0.7196008775879954,0.008426113156118178
17,0.733,24,24_0,1.0,3.5247089232901465,5.0,1.0,0.41099997722732196,0.1,0.5628236592683341,0.43717634775546843,COMPLETED,FullyBayesian,-7.023802428562931e-09,1037.464712,0.7108142888436918,0.009476736021213886
18,0.672,25,25_0,1.5361350708814858,3.6761413495026725,4.372794556634277,0.7594399481693221,0.5380497986418329,0.10000000000000014,0.6974358011396586,0.30256419886034136,COMPLETED,FullyBayesian,0.0,2752.867072,0.6752530216226467,0.01302743330136581
19,0.637,26,26_0,4.999999998936306,1.0,2.1616777187005014,0.10000000025030073,1.0,0.1,0.0,1.0,COMPLETED,FullyBayesian,0.0,928.840493,0.6377210688533842,0.0152489320249229
20,0.72,27,27_0,1.0000000000000204,3.6335508629273003,3.3851684310962913,0.9999999999999974,0.414748182807963,0.6837061524330769,0.618858427506361,0.3811415724936364,COMPLETED,FullyBayesian,2.6645352591003757e-15,2749.238937,0.7162872734760567,0.011106099521654525
21,0.669,28,28_0,1.0000000000206712,3.4422931356459103,4.999999999994577,0.9882628611791089,0.9999999999998112,0.3422621605173158,0.6351313739196869,0.3648686260797318,COMPLETED,FullyBayesian,5.81312775693732e-13,2876.799322,0.6718519517271038,0.014528461206674607
22,0.712,29,29_0,1.0,3.1252745476497514,5.0,0.891744341017349,0.4436727221181832,0.25139207532146884,0.5604095100305562,0.4395904899694436,COMPLETED,FullyBayesian,2.220446049250313e-16,1336.425538,0.7134114852004328,0.00906022866682745
23,0.705,30,30_0,1.000000000000001,3.769747610851372,4.732170149847779,0.9830474899866757,0.3651903103902655,0.20680318110528428,0.52780284822862,0.46997631037592175,COMPLETED,FullyBayesian,0.002220841395458306,743.440383,0.7186646545018877,0.008545955555629679
24,0.731,31,31_0,1.0,4.999999999999999,5.0,1.0,0.10121470534338489,0.9999999999999998,0.5509316931292721,0.44906830687072774,COMPLETED,FullyBayesian,1.1102230246251565e-16,558.658786,0.7323525994405958,0.011347340174501862
25,0.617,32,32_0,1.0000004371743292,4.999997925878363,4.99997080199603,0.1729755976538182,0.3435031058352026,0.10003534080070561,0.5210876332781917,0.4788833109934151,COMPLETED,FullyBayesian,2.905572839317916e-05,4531.992153,0.620318237809198,0.014401212654958931
26,0.641,33,33_0,1.0000000000000004,1.0,5.0,1.0,0.1852187103639069,0.1,0.4855638332007501,0.39483575003739935,COMPLETED,FullyBayesian,0.11960041676185051,773.849062,0.6510331590060146,0.015465605904514314
28,0.77,34,34_0,1.0,5.0,5.0,0.7972263168837354,0.34303057597937503,1.0,0.32752526077429395,0.45484116403949776,COMPLETED,FullyBayesian,0.2176335751862083,1688.044116,0.74326982162339,0.012885531925675275
29,0.646,35,35_0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,3.175547618743348e-17,0.4614537332472723,COMPLETED,FullyBayesian,0.5385462667527277,1174.707037,0.6461714026632558,0.014904833935778778
30,0.731,36,36_0,1.0000000000105898,4.999999999923524,4.999999999999961,0.9999999991926527,0.17159567500179285,0.46949240109391677,0.564708649089119,0.4287304171048797,COMPLETED,FullyBayesian,0.006560933806001312,3590.912601,0.7299358915937074,0.010790181371910712
31,0.577,37,37_0,1.0000000000000002,4.664916118814668,5.0,0.1,0.10000000000000006,1.0,0.4911017441710182,0.5088982558289817,COMPLETED,FullyBayesian,0.0,3193.372197,0.5851434899390043,0.01576853007352927
32,0.643,38,38_0,1.0,4.999999999998832,1.0,0.10000000000001426,1.0,0.9999999999999938,0.0,0.6201670267150388,COMPLETED,FullyBayesian,0.37983297328496124,867.535927,0.6428111917797458,0.01502230596377285
33,0.722,39,39_0,1.0,3.9730427988235393,5.0,1.0,0.38056683610115427,1.0,0.5526022562831375,0.4473977437168624,COMPLETED,FullyBayesian,0.0,1070.924383,0.7298008507869662,0.010804528673997038
34,0.736,40,40_0,1.0,4.41853203852256,1.0,1.0,0.1,1.0,0.5256565135846389,0.47162208612693657,COMPLETED,FullyBayesian,0.0027214002884244914,549.888186,0.731625567603996,0.012413944740556612
35,0.543,41,41_0,1.0,5.0,5.0,1.0,0.2276027564905621,0.6269114259555104,1.0691411903141036e-13,0.3920461884909316,COMPLETED,FullyBayesian,0.6079538115089616,2389.872452,0.5587498398303524,0.015390388175207763
36,0.589,42,42_0,1.0,5.0,4.999999999999999,0.10000000000000002,0.3834378245526707,0.9999999999999999,0.0,0.48231922814995837,COMPLETED,FullyBayesian,0.5176807718500416,749.853876,0.5919181009502633,0.014419920408291436
37,0.742,43,43_0,1.0,5.0,5.0,0.6839600443487147,0.3311399122681146,1.0,0.5128421746474584,0.4871578253525417,COMPLETED,FullyBayesian,0.0,1317.297467,0.736273585682358,0.012094037206140048
38,0.734,44,44_0,1.0,4.99999999999998,2.8673714401295545,1.0,0.2913301057666776,1.0,0.360111371425987,0.46745088377962346,COMPLETED,FullyBayesian,0.17243774479438956,831.577553,0.733468083121263,0.012123163369716274
40,0.741,45,45_0,1.0,5.0,5.0,1.0,1.0,0.9999999999999999,0.28351794985922657,0.7164820501407734,COMPLETED,FullyBayesian,0.0,1441.458676,0.7342062291326398,0.01592991724735399
41,0.665,46,46_0,1.0000003665910238,4.999999964012453,4.99999878526143,0.8209628070111306,0.2615699904283456,0.9999999925836034,0.38979155177607594,3.608416613044736e-09,COMPLETED,FullyBayesian,0.6102084446155074,702.803211,0.6786470754322064,0.015205879171597025
42,0.743,47,47_0,1.000000593428936,4.999999965408071,1.0,0.7874980552544857,0.3281605784528585,1.0,0.45985803955928967,0.5401419607556874,COMPLETED,FullyBayesian,-3.149771554689096e-10,686.604828,0.7446781311298288,0.010564646440145466
43,0.735,48,48_0,1.000000000000001,4.999999999999999,1.0,0.688527451077844,0.3193450086684605,1.0,0.3995368451078285,0.6004631548921722,COMPLETED,FullyBayesian,-6.661338147750939e-16,320.779348,0.7384431594088444,0.01199669531027822
44,0.755,49,49_0,1.0,5.0,5.0,0.8319466169525854,0.30853189849969986,0.9110517726057168,0.41474301167250777,0.585256988327492,COMPLETED,FullyBayesian,2.220446049250313e-16,263.010582,0.7540870694749991,0.009969300700214987
