,std1,std2,std3,comp1,comp2,mu1,mu3,mu2,comp3,seed,raw_mean,best_pred,best_sem
0,0.1501,0.245,0.6319,0.4214,0.03504,48.77,10.00,49.54,0.5436,10,0.5030,0.5030,nan
1,0.1794,0.7553,0.4311,0.1499,0.2144,49.88,10.00,24.98,0.6357,11,0.5380,0.5380,nan
