,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,trial_start_datetime,trial_complete_datetime,time_elapsed,vol_frac_pred,vol_frac_sigma
0,0.665,0,0_0,2.1954606771469116,2.6817315816879272,2.255570888519287,0.5992819964885712,0.5987916886806488,0.9157224178314209,0.731437623500824,0.8109044432640076,0.014485359191894531,COMPLETED,Sobol,5665.804913,2022-06-21 15:03:47.934131,2022-06-21 16:38:13.739044,5665.804913,0.6646316713831312,0.004686114184631316
3,0.575,1,1_0,4.432901151478291,4.046435508877039,4.232155047357082,0.20566687891259788,0.29275749400258066,0.32441999828442936,0.4023602707311511,0.14308477845042944,0.5611233944073319,COMPLETED,Sobol,976.315452,2022-06-21 15:03:48.163516,2022-06-21 15:20:04.478968,976.544837,0.576659861032744,0.004695259977477397
15,0.704,2,2_0,3.581605479121208,1.2904061079025269,1.5188087671995163,0.8691859028302134,0.5486581771634519,0.36868700906634333,0.9500716831535101,0.46733221411705017,0.9365199189633131,COMPLETED,Sobol,5603.783654,2022-06-21 15:03:48.310124,2022-06-21 16:37:12.093778,5604.159647,0.7076008627236624,0.0037220631156399246
27,0.676,3,3_0,1.7822143025696278,3.934551876038313,3.9954107515513897,0.362801449559629,0.7914040617644786,0.6475574814714491,0.18373956251889467,0.6116532953456044,0.38939455803483725,COMPLETED,Sobol,1933.211768,2022-06-21 15:03:48.455735,2022-06-21 15:36:01.667503,1933.733372,0.6756636957920179,0.004689877961783237
39,0.658,4,4_0,1.0599706582725048,1.6290414668619633,4.80596511811018,0.5424108136445284,0.8958758128806948,0.8607841563411057,0.7784139914438128,0.36150109581649303,0.7575341714546084,COMPLETED,Sobol,6073.859393,2022-06-21 15:03:48.618301,2022-06-21 16:45:02.477694,6074.543563,0.6585871688813103,0.00468868674265988
51,0.63,5,5_0,3.326188452541828,3.01730490475893,2.704347673803568,0.9362471749074757,0.41405980074778204,0.15521011762320996,0.10730410367250443,0.7177285579964519,0.30464708991348743,COMPLETED,Sobol,3546.453711,2022-06-21 15:03:48.769895,2022-06-21 16:02:55.223606,3547.289475,0.630170549048528,0.004677224394111516
63,0.564,6,6_0,4.662957355380058,2.2727835588157177,3.0466006211936474,0.244493183773011,0.1566794602200389,0.5361119600944221,0.5597949521616101,0.8935422115027905,0.17931119073182344,COMPLETED,Sobol,1499.51492,2022-06-21 15:03:48.929468,2022-06-21 15:28:48.444388,1500.510257,0.5659243211515579,0.004691834466876661
75,0.66,7,7_0,2.95869018509984,4.877744674682617,1.445032075047493,0.7506563933566213,0.7017700486816466,0.7042265640571713,0.32594033144414425,0.060691134072840214,0.6326875053346157,COMPLETED,Sobol,12285.513853,2022-06-21 15:03:49.096023,2022-06-21 18:28:34.609876,12286.675745,0.6597842587569717,0.0046957693975788195
87,0.64,8,8_0,2.6529949232935905,1.1282710656523705,3.355339352041483,0.954119730181992,0.25615191739052534,0.5526337205432356,0.8442112393677235,0.31121446192264557,0.8267138442024589,COMPLETED,Sobol,1406.438301,2022-06-21 15:20:04.522224,2022-06-21 15:43:30.960525,2383.026394,0.6408482871873151,0.004662346514022864
99,0.665,9,9_0,4.9841541312634945,3.522226084023714,1.1287249848246574,0.4479636016301811,0.6321559422649443,0.40735732000321156,0.01611816044896841,0.6430298509076238,0.37382679246366024,COMPLETED,Sobol,8959.881266,2022-06-21 15:28:48.487272,2022-06-21 17:58:08.368538,10460.434407,0.6646052820965158,0.004683170238196786
1,0.71,10,10_0,3.538156345192115,1.580929832394295,1.0,0.8606357818709515,0.6871435597506621,0.3987778563477433,0.9358791959348042,0.46895946759188956,0.9437073597336494,COMPLETED,GPEI,10516.983348,2022-06-21 18:28:35.194285,2022-06-21 21:23:52.177633,22804.243502,0.7095466865129741,0.004377927296417826
2,0.706,11,11_0,3.831420015260956,1.0,1.7369123355428768,0.8803790912043598,0.43826294750785955,0.2806520636621439,1.0,0.4956734654307197,0.9772330844815076,COMPLETED,GPEI,4462.835093,2022-06-21 18:28:36.657505,2022-06-21 19:42:59.492598,16751.558467,0.7075590142558874,0.003794996712786196
4,0.721,12,12_0,3.259673291351869,1.0,1.7748755936337357,0.8091486879344117,0.5939361061930797,0.4736588547976488,0.9364095069084017,0.4657534482804626,0.8130841045525944,COMPLETED,GPEI,8914.163539,2022-06-21 18:28:37.581036,2022-06-21 20:57:11.744575,21203.810444,0.7216847024586318,0.003979224884648892
5,0.672,13,13_0,3.606125195337454,1.914114544780583,1.4911192366220858,0.9575261300785152,0.47944083218128075,0.3660695919502792,0.8719020424381295,0.38387316349098705,1.0,COMPLETED,GPEI,3513.092711,2022-06-21 18:28:39.284480,2022-06-21 19:27:12.377191,15804.44306,0.671603124865241,0.004546604149855124
6,0.734,14,14_0,3.375560723860987,1.028523729701468,1.7126882640791816,0.8658408382433034,0.6541611982122563,0.24160378377498307,1.0,0.6141554789734434,1.0,COMPLETED,GPEI,11852.90697,2022-06-21 18:28:40.171110,2022-06-21 21:46:13.078080,24145.143949,0.7346452705997887,0.004137072426256927
7,0.733,15,15_0,4.142742409483432,1.0,1.0650597824790653,0.7664437610466133,0.47758945159809973,0.4436949535785144,1.0,0.42790470736411246,0.9042517359249327,COMPLETED,GPEI,5641.190514,2022-06-21 18:28:42.274485,2022-06-21 20:02:43.464999,17935.530868,0.731425017117122,0.0036386517158842387
8,0.735,16,16_0,3.5373553541106726,1.0,1.2969829224946352,1.0,0.5873426109807858,0.25242339535546265,1.0,0.3363150375374902,0.7748111671453602,COMPLETED,GPEI,8141.054854,2022-06-21 18:28:43.510181,2022-06-21 20:44:24.565035,20436.630904,0.7338028397939852,0.003867333392340656
9,0.677,17,17_0,3.575202363996658,1.9213323069215131,1.334262782083322,0.9149974490879328,0.5467424859573438,0.46754826636323654,1.0,0.6194718672401378,1.0,COMPLETED,GPEI,5010.229353,2022-06-21 18:28:45.995535,2022-06-21 19:52:16.224888,17308.290757,0.6773373836043952,0.004548802305763978
10,0.728,18,18_0,3.490939289877135,1.0,1.7286426088873443,0.7302311042559406,0.5905706709725064,0.36230118876944395,0.821927585014577,0.37074386483837785,1.0,COMPLETED,GPEI,8391.23376,2022-06-21 19:27:14.312017,2022-06-21 21:47:05.545777,24197.611646,0.7277242105495519,0.004101258751264293
11,0.726,19,19_0,4.038736293284421,1.0,2.083259014515118,0.8219123783499788,0.531688588324191,0.40095234534382784,0.9776462449461075,0.5946598420250306,1.0,COMPLETED,GPEI,7361.128274,2022-06-21 19:43:01.944043,2022-06-21 21:45:43.072317,24115.138186,0.7261358729378796,0.004012617523777583
12,0.698,20,20_0,3.342978927111677,1.0,1.2105486699097956,0.8316061423927604,0.4166843398081984,0.25891444990182055,1.0,0.552581564617846,0.901738328492259,COMPLETED,GPEI,3970.32366,2022-06-21 19:52:17.532390,2022-06-21 20:58:27.856050,21279.921919,0.6972662513493114,0.004282550854184721
