,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.684,0,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,95.422791,0.684,
2,0.671,1,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,92.862564,0.671,
13,0.684,2,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,76.910924,0.684,
24,0.684,3,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,74.392953,0.684,
35,0.671,4,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,93.221579,0.671,
46,0.671,5,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,87.747967,0.671,
57,0.676,6,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,100.877378,0.676,
68,0.672,7,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,65.864991,0.672,
79,0.688,8,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,91.485941,0.688,
90,0.674,9,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,98.942966,0.674,
1,0.691,10,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,99.965581,0.691,
3,0.666,11,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,98.579902,0.666,
4,0.674,12,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,99.701427,0.674,
5,0.669,13,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,96.414441,0.669,
6,0.665,14,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,101.464116,0.665,
7,0.682,15,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,88.429308,0.682,
8,0.669,16,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,101.479998,0.669,
9,0.663,17,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,80.010684,0.663,
10,0.662,18,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,74.692094,0.662,
11,0.678,19,0_0,1.7945374367351237,3.62875612244169,3.7986225159683804,0.4171532218820616,0.8109644930427758,0.8326431443053436,0.19742128450213303,0.9494552941959824,0.4766003859854373,COMPLETED,Uniform,100.248796,0.678,
